J,h,magnetization_density
0.000,0.000,-1.000000
0.000,0.061,-0.987682
0.000,0.122,-0.975248
0.000,0.184,-0.963286
0.000,0.245,-0.951482
0.000,0.306,-0.939474
0.000,0.367,-0.927778
0.000,0.429,-0.916468
0.000,0.490,-0.905090
0.000,0.551,-0.893722
0.000,0.612,-0.882842
0.000,0.673,-0.871970
0.000,0.735,-0.861338
0.000,0.796,-0.850560
0.000,0.857,-0.840074
0.000,0.918,-0.829750
0.000,0.980,-0.819486
0.000,1.041,-0.809204
0.000,1.102,-0.798984
0.000,1.163,-0.789334
0.000,1.224,-0.779590
0.000,1.286,-0.769876
0.000,1.347,-0.760236
0.000,1.408,-0.750708
0.000,1.469,-0.741300
0.000,1.531,-0.732178
0.000,1.592,-0.723004
0.000,1.653,-0.713846
0.000,1.714,-0.704876
0.000,1.776,-0.695732
0.000,1.837,-0.687140
0.000,1.898,-0.678352
0.000,1.959,-0.669428
0.000,2.020,-0.660928
0.000,2.082,-0.652358
0.000,2.143,-0.643768
0.000,2.204,-0.635334
0.000,2.265,-0.627132
0.000,2.327,-0.618956
0.000,2.388,-0.610670
0.000,2.449,-0.602808
0.000,2.510,-0.594800
0.000,2.571,-0.587194
0.000,2.633,-0.579398
0.000,2.694,-0.571440
0.000,2.755,-0.564066
0.000,2.816,-0.556374
0.000,2.878,-0.548890
0.000,2.939,-0.541520
0.000,3.000,-0.534184
0.061,0.000,-0.951732
0.061,0.061,-0.951388
0.061,0.122,-0.951206
0.061,0.184,-0.950698
0.061,0.245,-0.950032
0.061,0.306,-0.938186
0.061,0.367,-0.926688
0.061,0.429,-0.915326
0.061,0.490,-0.903932
0.061,0.551,-0.892628
0.061,0.612,-0.881734
0.061,0.673,-0.870834
0.061,0.735,-0.859748
0.061,0.796,-0.848898
0.061,0.857,-0.838340
0.061,0.918,-0.827920
0.061,0.980,-0.817654
0.061,1.041,-0.807522
0.061,1.102,-0.797492
0.061,1.163,-0.787804
0.061,1.224,-0.778022
0.061,1.286,-0.768264
0.061,1.347,-0.758494
0.061,1.408,-0.748974
0.061,1.469,-0.739492
0.061,1.531,-0.729974
0.061,1.592,-0.721030
0.061,1.653,-0.711818
0.061,1.714,-0.702464
0.061,1.776,-0.693488
0.061,1.837,-0.684378
