J,h,magnetization_density
0.000,0.000,-1.000000
0.000,0.061,0.052696
0.000,0.122,0.121408
0.000,0.184,0.181504
0.000,0.245,0.240280
0.000,0.306,0.296248
0.000,0.367,0.349544
0.000,0.429,0.402800
0.000,0.490,0.451896
0.000,0.551,0.498352
0.000,0.612,0.543336
0.000,0.673,0.584144
0.000,0.735,0.623480
0.000,0.796,0.659384
0.000,0.857,0.691712
0.000,0.918,0.722744
0.000,0.980,0.750680
0.000,1.041,0.776728
0.000,1.102,0.799936
0.000,1.163,0.820688
0.000,1.224,0.840416
0.000,1.286,0.857752
0.000,1.347,0.872944
0.000,1.408,0.886912
0.000,1.469,0.899208
0.000,1.531,0.910256
0.000,1.592,0.919960
0.000,1.653,0.928656
0.000,1.714,0.937032
0.000,1.776,0.944232
0.000,1.837,0.950552
0.000,1.898,0.956296
0.000,1.959,0.961752
0.000,2.020,0.965848
0.000,2.082,0.969424
0.000,2.143,0.972840
0.000,2.204,0.975784
0.000,2.265,0.978480
0.000,2.327,0.981104
0.000,2.388,0.983256
0.000,2.449,0.985104
0.000,2.510,0.986808
0.000,2.571,0.988304
0.000,2.633,0.989712
0.000,2.694,0.990824
0.000,2.755,0.991944
0.000,2.816,0.992856
0.000,2.878,0.993680
0.000,2.939,0.994504
0.000,3.000,0.995120
0.061,0.000,-0.005200
0.061,0.061,0.080152
0.061,0.122,0.154992
0.061,0.184,0.233112
0.061,0.245,0.303576
0.061,0.306,0.373864
0.061,0.367,0.435272
0.061,0.429,0.492816
0.061,0.490,0.549048
0.061,0.551,0.597624
0.061,0.612,0.641272
0.061,0.673,0.680640
0.061,0.735,0.716752
0.061,0.796,0.749776
0.061,0.857,0.777496
0.061,0.918,0.802824
0.061,0.980,0.826328
0.061,1.041,0.846328
0.061,1.102,0.863928
0.061,1.163,0.879912
0.061,1.224,0.893656
0.061,1.286,0.905680
0.061,1.347,0.916280
0.061,1.408,0.925928
0.061,1.469,0.934960
0.061,1.531,0.942544
0.061,1.592,0.949080
0.061,1.653,0.955064
0.061,1.714,0.960816
0.061,1.776,0.965184
0.061,1.837,0.969032
0.061,1.898,0.972520
0.061,1.959,0.975504
0.061,2.020,0.978208
0.061,2.082,0.980840
0.061,2.143,0.983016
0.061,2.204,0.984968
0.061,2.265,0.986736
0.061,2.327,0.988240
0.061,2.388,0.989656
0.061,2.449,0.990792
0.061,2.510,0.991920
0.061,2.571,0.992832
0.061,2.633,0.993672
0.061,2.694,0.994480
0.061,2.755,0.995096
0.061,2.816,0.995520
0.061,2.878,0.995952
0.061,2.939,0.996448
0.061,3.000,0.996856
0.122,0.000,0.000384
0.122,0.061,0.110280
0.122,0.122,0.213480
0.122,0.184,0.306840
0.122,0.245,0.395776
0.122,0.306,0.475840
0.122,0.367,0.546120
0.122,0.429,0.603464
0.122,0.490,0.656160
0.122,0.551,0.701768
0.122,0.612,0.740048
0.122,0.673,0.774128
0.122,0.735,0.804016
0.122,0.796,0.828368
0.122,0.857,0.850008
0.122,0.918,0.868824
0.122,0.980,0.885048
0.122,1.041,0.899184
0.122,1.102,0.911400
0.122,1.163,0.921936
0.122,1.224,0.931832
0.122,1.286,0.940152
0.122,1.347,0.947344
0.122,1.408,0.953568
0.122,1.469,0.959576
0.122,1.531,0.964200
0.122,1.592,0.968216
0.122,1.653,0.971928
0.122,1.714,0.975176
0.122,1.776,0.977960
0.122,1.837,0.980608
0.122,1.898,0.982792
0.122,1.959,0.984776
0.122,2.020,0.986560
0.122,2.082,0.988144
0.122,2.143,0.989608
0.122,2.204,0.990736
0.122,2.265,0.991872
0.122,2.327,0.992816
0.122,2.388,0.993648
0.122,2.449,0.994456
0.122,2.510,0.995088
0.122,2.571,0.995496
0.122,2.633,0.995944
0.122,2.694,0.996448
0.122,2.755,0.996856
0.122,2.816,0.997200
0.122,2.878,0.997632
0.122,2.939,0.997920
0.122,3.000,0.998192
0.184,0.000,0.000088
0.184,0.061,0.159016
0.184,0.122,0.300008
0.184,0.184,0.421984
0.184,0.245,0.519528
0.184,0.306,0.601056
0.184,0.367,0.665184
0.184,0.429,0.717696
0.184,0.490,0.761736
0.184,0.551,0.797968
0.184,0.612,0.826824
0.184,0.673,0.850728
0.184,0.735,0.871512
0.184,0.796,0.888872
0.184,0.857,0.903552
0.184,0.918,0.916200
0.184,0.980,0.927328
0.184,1.041,0.936768
0.184,1.102,0.944584
0.184,1.163,0.951760
0.184,1.224,0.958288
0.184,1.286,0.962976
0.184,1.347,0.967144
0.184,1.408,0.971152
0.184,1.469,0.974496
0.184,1.531,0.977480
0.184,1.592,0.980328
0.184,1.653,0.982576
0.184,1.714,0.984616
0.184,1.776,0.986400
0.184,1.837,0.987992
0.184,1.898,0.989488
0.184,1.959,0.990696
0.184,2.020,0.991832
0.184,2.082,0.992776
0.184,2.143,0.993624
0.184,2.204,0.994448
0.184,2.265,0.995064
0.184,2.327,0.995472
0.184,2.388,0.995944
0.184,2.449,0.996448
0.184,2.510,0.996856
0.184,2.571,0.997200
0.184,2.633,0.997632
0.184,2.694,0.997920
0.184,2.755,0.998192
0.184,2.816,0.998368
0.184,2.878,0.998568
0.184,2.939,0.998664
0.184,3.000,0.998800
0.245,0.000,-0.004440
0.245,0.061,0.243752
0.245,0.122,0.438288
0.245,0.184,0.569024
0.245,0.245,0.662720
0.245,0.306,0.730504
0.245,0.367,0.780648
0.245,0.429,0.817968
0.245,0.490,0.847656
0.245,0.551,0.871144
0.245,0.612,0.890872
