J,h,magnetization_density
0.000,0.000,-1.000000
0.000,0.061,-0.249324
0.000,0.122,0.024714
0.000,0.184,0.152372
0.000,0.245,0.231976
0.000,0.306,0.295836
0.000,0.367,0.352832
0.000,0.429,0.405980
0.000,0.490,0.456352
0.000,0.551,0.503166
0.000,0.612,0.547338
0.000,0.673,0.588990
0.000,0.735,0.627354
0.000,0.796,0.663304
0.000,0.857,0.695668
0.000,0.918,0.725822
0.000,0.980,0.752898
0.000,1.041,0.778056
0.000,1.102,0.801108
0.000,1.163,0.822112
0.000,1.224,0.840988
0.000,1.286,0.858030
0.000,1.347,0.873064
0.000,1.408,0.886778
0.000,1.469,0.899012
0.000,1.531,0.910110
0.000,1.592,0.919878
0.000,1.653,0.928866
0.000,1.714,0.936854
0.000,1.776,0.943742
0.000,1.837,0.949810
0.000,1.898,0.955254
0.000,1.959,0.960246
0.000,2.020,0.964782
0.000,2.082,0.968822
0.000,2.143,0.972344
0.000,2.204,0.975444
0.000,2.265,0.978238
0.000,2.327,0.980652
0.000,2.388,0.982784
0.000,2.449,0.984718
0.000,2.510,0.986394
0.000,2.571,0.987888
0.000,2.633,0.989264
0.000,2.694,0.990420
0.000,2.755,0.991518
0.000,2.816,0.992500
0.000,2.878,0.993410
0.000,2.939,0.994184
0.000,3.000,0.994858
0.061,0.000,-0.057268
0.061,0.061,0.049374
0.061,0.122,0.152542
0.061,0.184,0.235716
0.061,0.245,0.307962
0.061,0.306,0.375614
0.061,0.367,0.439568
0.061,0.429,0.498058
0.061,0.490,0.552496
0.061,0.551,0.601062
0.061,0.612,0.644872
0.061,0.673,0.684552
0.061,0.735,0.719270
0.061,0.796,0.750906
0.061,0.857,0.779034
0.061,0.918,0.804266
0.061,0.980,0.826766
0.061,1.041,0.846816
0.061,1.102,0.864036
0.061,1.163,0.879526
0.061,1.224,0.893410
0.061,1.286,0.905600
0.061,1.347,0.916356
0.061,1.408,0.925996
0.061,1.469,0.934546
0.061,1.531,0.942026
0.061,1.592,0.948514
0.061,1.653,0.954242
0.061,1.714,0.959410
0.061,1.776,0.964038
0.061,1.837,0.968254
0.061,1.898,0.971926
0.061,1.959,0.975096
0.061,2.020,0.977978
0.061,2.082,0.980464
0.061,2.143,0.982642
0.061,2.204,0.984600
0.061,2.265,0.986300
0.061,2.327,0.987818
0.061,2.388,0.989194
0.061,2.449,0.990378
0.061,2.510,0.991480
0.061,2.571,0.992460
0.061,2.633,0.993382
0.061,2.694,0.994166
0.061,2.755,0.994846
0.061,2.816,0.995404
0.061,2.878,0.995896
0.061,2.939,0.996392
0.061,3.000,0.996840
0.122,0.000,0.039542
0.122,0.061,0.126380
0.122,0.122,0.217232
0.122,0.184,0.311204
0.122,0.245,0.397786
0.122,0.306,0.477992
0.122,0.367,0.547180
0.122,0.429,0.606612
0.122,0.490,0.658574
0.122,0.551,0.703494
0.122,0.612,0.742090
0.122,0.673,0.775332
0.122,0.735,0.804080
0.122,0.796,0.829040
0.122,0.857,0.850278
0.122,0.918,0.869006
0.122,0.980,0.885068
0.122,1.041,0.899104
0.122,1.102,0.911300
0.122,1.163,0.921990
0.122,1.224,0.931500
0.122,1.286,0.939580
0.122,1.347,0.946548
0.122,1.408,0.952800
0.122,1.469,0.958318
0.122,1.531,0.963172
0.122,1.592,0.967554
0.122,1.653,0.971322
0.122,1.714,0.974646
0.122,1.776,0.977660
0.122,1.837,0.980206
0.122,1.898,0.982456
0.122,1.959,0.984442
0.122,2.020,0.986196
0.122,2.082,0.987718
0.122,2.143,0.989114
0.122,2.204,0.990318
0.122,2.265,0.991426
0.122,2.327,0.992430
0.122,2.388,0.993350
0.122,2.449,0.994130
0.122,2.510,0.994824
0.122,2.571,0.995388
0.122,2.633,0.995888
0.122,2.694,0.996386
0.122,2.755,0.996834
0.122,2.816,0.997206
0.122,2.878,0.997552
0.122,2.939,0.997864
0.122,3.000,0.998122
0.184,0.000,0.010922
0.184,0.061,0.158364
0.184,0.122,0.296624
0.184,0.184,0.416956
0.184,0.245,0.519684
0.184,0.306,0.601544
0.184,0.367,0.666646
0.184,0.429,0.719970
0.184,0.490,0.763170
0.184,0.551,0.798394
0.184,0.612,0.827338
0.184,0.673,0.851534
0.184,0.735,0.871636
0.184,0.796,0.889154
0.184,0.857,0.903670
0.184,0.918,0.916196
0.184,0.980,0.927170
0.184,1.041,0.936262
0.184,1.102,0.943988
0.184,1.163,0.950696
0.184,1.224,0.956670
0.184,1.286,0.962006
0.184,1.347,0.966632
0.184,1.408,0.970566
0.184,1.469,0.974078
0.184,1.531,0.977162
0.184,1.592,0.979828
0.184,1.653,0.982188
0.184,1.714,0.984244
0.184,1.776,0.986048
0.184,1.837,0.987600
0.184,1.898,0.989040
0.184,1.959,0.990244
0.184,2.020,0.991360
0.184,2.082,0.992384
0.184,2.143,0.993306
0.184,2.204,0.994102
0.184,2.265,0.994800
0.184,2.327,0.995364
0.184,2.388,0.995870
0.184,2.449,0.996374
0.184,2.510,0.996826
0.184,2.571,0.997204
0.184,2.633,0.997548
0.184,2.694,0.997858
0.184,2.755,0.998120
0.184,2.816,0.998356
0.184,2.878,0.998574
0.184,2.939,0.998706
0.184,3.000,0.998858
0.245,0.000,-0.002050
0.245,0.061,0.239722
0.245,0.122,0.432220
0.245,0.184,0.569288
0.245,0.245,0.663440
0.245,0.306,0.732568
0.245,0.367,0.781662
0.245,0.429,0.819252
0.245,0.490,0.848316
0.245,0.551,0.871712
0.245,0.612,0.890924
0.245,0.673,0.907130
0.245,0.735,0.920300
0.245,0.796,0.931142
0.245,0.857,0.940180
0.245,0.918,0.947838
0.245,0.980,0.954440
0.245,1.041,0.960288
0.245,1.102,0.965320
0.245,1.163,0.969614
0.245,1.224,0.973334
0.245,1.286,0.976556
0.245,1.347,0.979364
0.245,1.408,0.981804
0.245,1.469,0.983936
0.245,1.531,0.985818
0.245,1.592,0.987432
0.245,1.653,0.988920
0.245,1.714,0.990150
0.245,1.776,0.991304
0.245,1.837,0.992328
0.245,1.898,0.993264
0.245,1.959,0.994064
0.245,2.020,0.994768
0.245,2.082,0.995348
0.245,2.143,0.995850
0.245,2.204,0.996354
0.245,2.265,0.996810
0.245,2.327,0.997196
0.245,2.388,0.997542
0.245,2.449,0.997856
0.245,2.510,0.998116
0.245,2.571,0.998350
0.245,2.633,0.998572
0.245,2.694,0.998702
0.245,2.755,0.998854
0.245,2.816,0.999008
0.245,2.878,0.999122
0.245,2.939,0.999222
0.245,3.000,0.999322
0.306,0.000,0.004052
0.306,0.061,0.412904
0.306,0.122,0.622110
0.306,0.184,0.729730
0.306,0.245,0.794254
0.306,0.306,0.836964
0.306,0.367,0.867032
0.306,0.429,0.890406
0.306,0.490,0.908502
0.306,0.551,0.922864
0.306,0.612,0.934118
0.306,0.673,0.943462
0.306,0.735,0.951224
0.306,0.796,0.957750
0.306,0.857,0.963470
0.306,0.918,0.968212
0.306,0.980,0.972248
0.306,1.041,0.975822
0.306,1.102,0.978768
0.306,1.163,0.981286
0.306,1.224,0.983540
0.306,1.286,0.985514
0.306,1.347,0.987184
0.306,1.408,0.988746
0.306,1.469,0.990026
0.306,1.531,0.991208
0.306,1.592,0.992256
0.306,1.653,0.993222
0.306,1.714,0.994024
0.306,1.776,0.994736
0.306,1.837,0.995318
0.306,1.898,0.995828
0.306,1.959,0.996342
0.306,2.020,0.996798
0.306,2.082,0.997176
0.306,2.143,0.997526
0.306,2.204,0.997848
0.306,2.265,0.998112
0.306,2.327,0.998348
0.306,2.388,0.998568
0.306,2.449,0.998696
0.306,2.510,0.998852
0.306,2.571,0.999004
0.306,2.633,0.999118
0.306,2.694,0.999222
0.306,2.755,0.999322
0.306,2.816,0.999386
0.306,2.878,0.999454
0.306,2.939,0.999512
0.306,3.000,0.999572
0.367,0.000,-0.176986
0.367,0.061,0.578654
0.367,0.122,0.791740
0.367,0.184,0.850102
0.367,0.245,0.883882
0.367,0.306,0.906892
0.367,0.367,0.923246
0.367,0.429,0.936094
0.367,0.490,0.946000
0.367,0.551,0.954006
0.367,0.612,0.960702
0.367,0.673,0.966170
0.367,0.735,0.970702
0.367,0.796,0.974662
0.367,0.857,0.977906
0.367,0.918,0.980708
0.367,0.980,0.983080
0.367,1.041,0.985102
0.367,1.102,0.986880
0.367,1.163,0.988500
0.367,1.224,0.989836
0.367,1.286,0.991070
0.367,1.347,0.992146
0.367,1.408,0.993154
0.367,1.469,0.993972
0.367,1.531,0.994704
0.367,1.592,0.995296
0.367,1.653,0.995806
0.367,1.714,0.996316
0.367,1.776,0.996778
0.367,1.837,0.997170
0.367,1.898,0.997518
0.367,1.959,0.997830
0.367,2.020,0.998100
0.367,2.082,0.998342
0.367,2.143,0.998564
0.367,2.204,0.998694
0.367,2.265,0.998848
0.367,2.327,0.999000
0.367,2.388,0.999118
0.367,2.449,0.999218
0.367,2.510,0.999318
0.367,2.571,0.999386
0.367,2.633,0.999454
0.367,2.694,0.999512
0.367,2.755,0.999572
0.367,2.816,0.999622
0.367,2.878,0.999662
0.367,2.939,0.999706
0.367,3.000,0.999750
0.429,0.000,-0.696306
0.429,0.061,-0.057816
0.429,0.122,0.712726
0.429,0.184,0.913088
0.429,0.245,0.935654
0.429,0.306,0.947320
0.429,0.367,0.956128
0.429,0.429,0.962956
0.429,0.490,0.968300
0.429,0.551,0.972884
0.429,0.612,0.976652
0.429,0.673,0.979790
0.429,0.735,0.982382
0.429,0.796,0.984616
