J,h,magnetization_density
0.000,0.000,-1.000000
0.000,0.263,-0.809088
0.000,0.526,-0.654616
0.000,0.789,-0.527744
0.000,1.053,-0.423824
0.000,1.316,-0.337032
0.000,1.579,-0.269360
0.000,1.842,-0.213520
0.000,2.105,-0.166232
0.000,2.368,-0.129280
0.000,2.632,-0.099208
0.000,2.895,-0.073368
0.000,3.158,-0.051520
0.000,3.421,-0.033640
0.000,3.684,-0.019024
0.000,3.947,-0.006816
0.000,4.211,0.004696
0.000,4.474,0.015376
0.000,4.737,0.023760
0.000,5.000,0.032344
0.263,0.000,-0.366808
0.263,0.263,-0.348472
0.263,0.526,-0.332744
0.263,0.789,-0.303192
0.263,1.053,-0.277432
0.263,1.316,-0.217272
0.263,1.579,-0.170976
0.263,1.842,-0.132872
0.263,2.105,-0.101488
0.263,2.368,-0.077288
0.263,2.632,-0.054272
0.263,2.895,-0.036216
0.263,3.158,-0.021696
0.263,3.421,-0.008696
0.263,3.684,0.001608
0.263,3.947,0.012472
0.263,4.211,0.020752
0.263,4.474,0.027696
0.263,4.737,0.033296
0.263,5.000,0.039352
0.526,0.000,0.089976
0.526,0.263,0.089576
0.526,0.526,0.082752
0.526,0.789,0.080672
0.526,1.053,0.076184
0.526,1.316,0.061608
0.526,1.579,0.052336
0.526,1.842,0.045064
0.526,2.105,0.039856
0.526,2.368,0.039592
0.526,2.632,0.039840
0.526,2.895,0.039856
0.526,3.158,0.040528
0.526,3.421,0.041144
0.526,3.684,0.042504
0.526,3.947,0.044768
0.526,4.211,0.046424
0.526,4.474,0.049512
0.526,4.737,0.050888
0.526,5.000,0.053904
0.789,0.000,0.298208
0.789,0.263,0.278432
0.789,0.526,0.259272
0.789,0.789,0.243992
0.789,1.053,0.228056
0.789,1.316,0.213536
0.789,1.579,0.201696
0.789,1.842,0.174024
0.789,2.105,0.150928
0.789,2.368,0.131008
0.789,2.632,0.115104
0.789,2.895,0.103504
0.789,3.158,0.093776
0.789,3.421,0.085136
0.789,3.684,0.076872
0.789,3.947,0.072656
0.789,4.211,0.068664
0.789,4.474,0.067256
0.789,4.737,0.066064
