J,h,magnetization_density
0.000,0.000,-1.000000
0.000,0.263,0.253800
0.000,0.526,0.485200
0.000,0.789,0.662200
0.000,1.053,0.781400
0.000,1.316,0.865600
0.000,1.579,0.922600
0.000,1.842,0.954600
0.000,2.105,0.973800
0.000,2.368,0.984400
0.000,2.632,0.990200
0.000,2.895,0.995600
0.000,3.158,0.997600
0.000,3.421,0.999200
0.000,3.684,0.999800
0.000,3.947,0.999800
0.000,4.211,0.999800
0.000,4.474,1.000000
0.000,4.737,1.000000
0.000,5.000,1.000000
0.263,0.000,0.006000
0.263,0.263,0.716800
0.263,0.526,0.891600
0.263,0.789,0.945400
0.263,1.053,0.970400
0.263,1.316,0.983400
0.263,1.579,0.990000
0.263,1.842,0.995600
0.263,2.105,0.997600
0.263,2.368,0.999200
0.263,2.632,0.999800
0.263,2.895,0.999800
0.263,3.158,0.999800
0.263,3.421,1.000000
0.263,3.684,1.000000
0.263,3.947,1.000000
0.263,4.211,1.000000
0.263,4.474,1.000000
0.263,4.737,1.000000
0.263,5.000,1.000000
0.526,0.000,-0.946000
0.526,0.263,0.978600
0.526,0.526,0.988800
0.526,0.789,0.995600
0.526,1.053,0.997600
0.526,1.316,0.999200
0.526,1.579,0.999800
0.526,1.842,0.999800
0.526,2.105,0.999800
0.526,2.368,1.000000
0.526,2.632,1.000000
0.526,2.895,1.000000
0.526,3.158,1.000000
0.526,3.421,1.000000
0.526,3.684,1.000000
0.526,3.947,1.000000
0.526,4.211,1.000000
0.526,4.474,1.000000
0.526,4.737,1.000000
0.526,5.000,1.000000
0.789,0.000,-0.997200
0.789,0.263,0.999200
0.789,0.526,0.999800
0.789,0.789,0.999800
0.789,1.053,0.999800
0.789,1.316,1.000000
0.789,1.579,1.000000
0.789,1.842,1.000000
0.789,2.105,1.000000
0.789,2.368,1.000000
0.789,2.632,1.000000
0.789,2.895,1.000000
0.789,3.158,1.000000
0.789,3.421,1.000000
0.789,3.684,1.000000
0.789,3.947,1.000000
0.789,4.211,1.000000
0.789,4.474,1.000000
0.789,4.737,1.000000
0.789,5.000,1.000000
1.053,0.000,-0.999800
1.053,0.263,-0.999800
1.053,0.526,-0.999400
1.053,0.789,1.000000
1.053,1.053,1.000000
1.053,1.316,1.000000
1.053,1.579,1.000000
1.053,1.842,1.000000
1.053,2.105,1.000000
1.053,2.368,1.000000
1.053,2.632,1.000000
1.053,2.895,1.000000
1.053,3.158,1.000000
1.053,3.421,1.000000
1.053,3.684,1.000000
1.053,3.947,1.000000
1.053,4.211,1.000000
1.053,4.474,1.000000
1.053,4.737,1.000000
1.053,5.000,1.000000
1.316,0.000,-1.000000
1.316,0.263,-1.000000
1.316,0.526,-1.000000
1.316,0.789,-1.000000
1.316,1.053,1.000000
1.316,1.316,1.000000
1.316,1.579,1.000000
1.316,1.842,1.000000
1.316,2.105,1.000000
1.316,2.368,1.000000
1.316,2.632,1.000000
1.316,2.895,1.000000
1.316,3.158,1.000000
1.316,3.421,1.000000
1.316,3.684,1.000000
1.316,3.947,1.000000
1.316,4.211,1.000000
1.316,4.474,1.000000
1.316,4.737,1.000000
1.316,5.000,1.000000
1.579,0.000,-1.000000
1.579,0.263,-1.000000
1.579,0.526,-1.000000
1.579,0.789,-1.000000
1.579,1.053,-1.000000
1.579,1.316,1.000000
1.579,1.579,1.000000
1.579,1.842,1.000000
1.579,2.105,1.000000
1.579,2.368,1.000000
1.579,2.632,1.000000
1.579,2.895,1.000000
1.579,3.158,1.000000
1.579,3.421,1.000000
1.579,3.684,1.000000
1.579,3.947,1.000000
1.579,4.211,1.000000
1.579,4.474,1.000000
1.579,4.737,1.000000
1.579,5.000,1.000000
1.842,0.000,-1.000000
1.842,0.263,-1.000000
1.842,0.526,-1.000000
1.842,0.789,-1.000000
1.842,1.053,-1.000000
1.842,1.316,-1.000000
1.842,1.579,-1.000000
1.842,1.842,-1.000000
1.842,2.105,1.000000
1.842,2.368,1.000000
1.842,2.632,1.000000
1.842,2.895,1.000000
1.842,3.158,1.000000
1.842,3.421,1.000000
1.842,3.684,1.000000
1.842,3.947,1.000000
1.842,4.211,1.000000
1.842,4.474,1.000000
1.842,4.737,1.000000
1.842,5.000,1.000000
2.105,0.000,-1.000000
2.105,0.263,-1.000000
2.105,0.526,-1.000000
2.105,0.789,-1.000000
2.105,1.053,-1.000000
2.105,1.316,-1.000000
2.105,1.579,-1.000000
2.105,1.842,-1.000000
2.105,2.105,-1.000000
2.105,2.368,-1.000000
2.105,2.632,-1.000000
2.105,2.895,1.000000
2.105,3.158,1.000000
2.105,3.421,1.000000
2.105,3.684,1.000000
2.105,3.947,1.000000
2.105,4.211,1.000000
2.105,4.474,1.000000
2.105,4.737,1.000000
2.105,5.000,1.000000
2.368,0.000,-1.000000
2.368,0.263,-1.000000
2.368,0.526,-1.000000
2.368,0.789,-1.000000
2.368,1.053,-1.000000
2.368,1.316,-1.000000
2.368,1.579,-1.000000
2.368,1.842,-1.000000
2.368,2.105,-1.000000
2.368,2.368,-1.000000
2.368,2.632,-1.000000
2.368,2.895,-1.000000
2.368,3.158,-1.000000
2.368,3.421,-1.000000
2.368,3.684,1.000000
2.368,3.947,1.000000
2.368,4.211,1.000000
2.368,4.474,1.000000
2.368,4.737,1.000000
2.368,5.000,1.000000
2.632,0.000,-1.000000
2.632,0.263,-1.000000
2.632,0.526,-1.000000
2.632,0.789,-1.000000
2.632,1.053,-1.000000
2.632,1.316,-1.000000
2.632,1.579,-1.000000
2.632,1.842,-1.000000
2.632,2.105,-1.000000
2.632,2.368,-1.000000
2.632,2.632,-1.000000
2.632,2.895,-1.000000
2.632,3.158,-1.000000
2.632,3.421,-1.000000
2.632,3.684,-1.000000
2.632,3.947,-1.000000
2.632,4.211,1.000000
2.632,4.474,1.000000
2.632,4.737,1.000000
2.632,5.000,1.000000
2.895,0.000,-1.000000
2.895,0.263,-1.000000
2.895,0.526,-1.000000
2.895,0.789,-1.000000
2.895,1.053,-1.000000
2.895,1.316,-1.000000
2.895,1.579,-1.000000
2.895,1.842,-1.000000
2.895,2.105,-1.000000
2.895,2.368,-1.000000
2.895,2.632,-1.000000
2.895,2.895,-1.000000
2.895,3.158,-1.000000
2.895,3.421,-1.000000
2.895,3.684,-1.000000
2.895,3.947,-1.000000
2.895,4.211,-1.000000
2.895,4.474,-1.000000
2.895,4.737,-1.000000
2.895,5.000,1.000000
3.158,0.000,-1.000000
3.158,0.263,-1.000000
3.158,0.526,-1.000000
3.158,0.789,-1.000000
3.158,1.053,-1.000000
3.158,1.316,-1.000000
3.158,1.579,-1.000000
3.158,1.842,-1.000000
3.158,2.105,-1.000000
3.158,2.368,-1.000000
3.158,2.632,-1.000000
3.158,2.895,-1.000000
3.158,3.158,-1.000000
3.158,3.421,-1.000000
3.158,3.684,-1.000000
3.158,3.947,-1.000000
3.158,4.211,-1.000000
3.158,4.474,-1.000000
3.158,4.737,-1.000000
3.158,5.000,-1.000000
3.421,0.000,-1.000000
3.421,0.263,-1.000000
3.421,0.526,-1.000000
3.421,0.789,-1.000000
3.421,1.053,-1.000000
3.421,1.316,-1.000000
3.421,1.579,-1.000000
3.421,1.842,-1.000000
3.421,2.105,-1.000000
3.421,2.368,-1.000000
3.421,2.632,-1.000000
3.421,2.895,-1.000000
3.421,3.158,-1.000000
3.421,3.421,-1.000000
3.421,3.684,-1.000000
3.421,3.947,-1.000000
3.421,4.211,-1.000000
3.421,4.474,-1.000000
3.421,4.737,-1.000000
3.421,5.000,-1.000000
3.684,0.000,-1.000000
3.684,0.263,-1.000000
3.684,0.526,-1.000000
3.684,0.789,-1.000000
3.684,1.053,-1.000000
3.684,1.316,-1.000000
3.684,1.579,-1.000000
3.684,1.842,-1.000000
3.684,2.105,-1.000000
3.684,2.368,-1.000000
3.684,2.632,-1.000000
3.684,2.895,-1.000000
3.684,3.158,-1.000000
3.684,3.421,-1.000000
3.684,3.684,-1.000000
3.684,3.947,-1.000000
3.684,4.211,-1.000000
3.684,4.474,-1.000000
3.684,4.737,-1.000000
3.684,5.000,-1.000000
3.947,0.000,-1.000000
3.947,0.263,-1.000000
3.947,0.526,-1.000000
3.947,0.789,-1.000000
3.947,1.053,-1.000000
3.947,1.316,-1.000000
3.947,1.579,-1.000000
3.947,1.842,-1.000000
3.947,2.105,-1.000000
3.947,2.368,-1.000000
3.947,2.632,-1.000000
3.947,2.895,-1.000000
3.947,3.158,-1.000000
3.947,3.421,-1.000000
3.947,3.684,-1.000000
3.947,3.947,-1.000000
3.947,4.211,-1.000000
3.947,4.474,-1.000000
3.947,4.737,-1.000000
3.947,5.000,-1.000000
4.211,0.000,-1.000000
4.211,0.263,-1.000000
4.211,0.526,-1.000000
4.211,0.789,-1.000000
4.211,1.053,-1.000000
4.211,1.316,-1.000000
4.211,1.579,-1.000000
4.211,1.842,-1.000000
4.211,2.105,-1.000000
4.211,2.368,-1.000000
4.211,2.632,-1.000000
4.211,2.895,-1.000000
4.211,3.158,-1.000000
4.211,3.421,-1.000000
4.211,3.684,-1.000000
4.211,3.947,-1.000000
4.211,4.211,-1.000000
4.211,4.474,-1.000000
4.211,4.737,-1.000000
4.211,5.000,-1.000000
4.474,0.000,-1.000000
4.474,0.263,-1.000000
4.474,0.526,-1.000000
4.474,0.789,-1.000000
4.474,1.053,-1.000000
4.474,1.316,-1.000000
4.474,1.579,-1.000000
4.474,1.842,-1.000000
4.474,2.105,-1.000000
4.474,2.368,-1.000000
4.474,2.632,-1.000000
4.474,2.895,-1.000000
4.474,3.158,-1.000000
4.474,3.421,-1.000000
4.474,3.684,-1.000000
4.474,3.947,-1.000000
4.474,4.211,-1.000000
4.474,4.474,-1.000000
4.474,4.737,-1.000000
4.474,5.000,-1.000000
4.737,0.000,-1.000000
4.737,0.263,-1.000000
4.737,0.526,-1.000000
4.737,0.789,-1.000000
4.737,1.053,-1.000000
4.737,1.316,-1.000000
4.737,1.579,-1.000000
4.737,1.842,-1.000000
4.737,2.105,-1.000000
4.737,2.368,-1.000000
4.737,2.632,-1.000000
4.737,2.895,-1.000000
4.737,3.158,-1.000000
4.737,3.421,-1.000000
4.737,3.684,-1.000000
4.737,3.947,-1.000000
4.737,4.211,-1.000000
4.737,4.474,-1.000000
4.737,4.737,-1.000000
4.737,5.000,-1.000000
5.000,0.000,-1.000000
5.000,0.263,-1.000000
5.000,0.526,-1.000000
5.000,0.789,-1.000000
5.000,1.053,-1.000000
5.000,1.316,-1.000000
5.000,1.579,-1.000000
5.000,1.842,-1.000000
5.000,2.105,-1.000000
5.000,2.368,-1.000000
5.000,2.632,-1.000000
5.000,2.895,-1.000000
5.000,3.158,-1.000000
5.000,3.421,-1.000000
5.000,3.684,-1.000000
5.000,3.947,-1.000000
5.000,4.211,-1.000000
5.000,4.474,-1.000000
5.000,4.737,-1.000000
5.000,5.000,-1.000000
