J,h,magnetization_density
0.000,-1.000,-0.762856
0.000,-0.959,-0.745316
0.000,-0.918,-0.726604
0.000,-0.878,-0.707070
0.000,-0.837,-0.685372
0.000,-0.796,-0.663070
0.000,-0.755,-0.639068
0.000,-0.714,-0.614278
0.000,-0.673,-0.588166
0.000,-0.633,-0.560408
0.000,-0.592,-0.530266
0.000,-0.551,-0.500654
0.000,-0.510,-0.469430
0.000,-0.469,-0.437388
0.000,-0.429,-0.403136
0.000,-0.388,-0.368506
0.000,-0.347,-0.332324
0.000,-0.306,-0.293684
0.000,-0.265,-0.253042
0.000,-0.224,-0.207324
0.000,-0.184,-0.152898
0.000,-0.143,-0.076710
0.000,-0.102,0.040804
0.000,-0.061,0.250132
0.000,-0.020,0.658236
0.000,0.020,0.671822
0.000,0.061,0.337902
0.000,0.102,0.220168
0.000,0.143,0.192018
0.000,0.184,0.203514
0.000,0.224,0.231048
0.000,0.265,0.264034
0.000,0.306,0.297750
0.000,0.347,0.333812
0.000,0.388,0.369876
0.000,0.429,0.403746
0.000,0.469,0.437360
0.000,0.510,0.469944
0.000,0.551,0.501332
0.000,0.592,0.531090
0.000,0.633,0.559376
0.000,0.673,0.586790
0.000,0.714,0.613162
0.000,0.755,0.636822
0.000,0.796,0.660434
0.000,0.837,0.682664
0.000,0.878,0.704232
0.000,0.918,0.724132
0.000,0.959,0.743222
0.000,1.000,0.761150
0.061,-1.000,-0.833732
0.061,-0.959,-0.819360
0.061,-0.918,-0.804042
0.061,-0.878,-0.787732
0.061,-0.837,-0.770548
0.061,-0.796,-0.751214
0.061,-0.755,-0.730214
0.061,-0.714,-0.707580
0.061,-0.673,-0.683780
0.061,-0.633,-0.657604
0.061,-0.592,-0.629652
0.061,-0.551,-0.600046
0.061,-0.510,-0.567948
0.061,-0.469,-0.533908
0.061,-0.429,-0.497330
0.061,-0.388,-0.458530
0.061,-0.347,-0.417400
0.061,-0.306,-0.375444
0.061,-0.265,-0.329636
0.061,-0.224,-0.282794
0.061,-0.184,-0.233948
0.061,-0.143,-0.180588
0.061,-0.102,-0.119638
0.061,-0.061,-0.051188
0.061,-0.020,0.020252
0.061,0.020,0.079182
0.061,0.061,0.111984
0.061,0.102,0.149326
0.061,0.143,0.189522
0.061,0.184,0.236894
0.061,0.224,0.285192
0.061,0.265,0.331024
0.061,0.306,0.376306
0.061,0.347,0.418564
0.061,0.388,0.458376
0.061,0.429,0.496484
0.061,0.469,0.532272
0.061,0.510,0.565964
0.061,0.551,0.598364
0.061,0.592,0.627976
0.061,0.633,0.655864
0.061,0.673,0.681438
0.061,0.714,0.705844
0.061,0.755,0.728358
0.061,0.796,0.749596
0.061,0.837,0.768900
0.061,0.878,0.787004
0.061,0.918,0.802996
0.061,0.959,0.818128
0.061,1.000,0.832272
0.122,-1.000,-0.889888
0.122,-0.959,-0.879626
0.122,-0.918,-0.868568
0.122,-0.878,-0.856112
0.122,-0.837,-0.842588
0.122,-0.796,-0.827586
0.122,-0.755,-0.811580
0.122,-0.714,-0.793576
0.122,-0.673,-0.775944
0.122,-0.633,-0.754068
0.122,-0.592,-0.729310
0.122,-0.551,-0.702668
0.122,-0.510,-0.673592
0.122,-0.469,-0.641114
0.122,-0.429,-0.605550
0.122,-0.388,-0.567292
0.122,-0.347,-0.523362
0.122,-0.306,-0.476796
0.122,-0.265,-0.425594
0.122,-0.224,-0.368914
0.122,-0.184,-0.309904
0.122,-0.143,-0.248058
0.122,-0.102,-0.186962
0.122,-0.061,-0.124810
0.122,-0.020,-0.065352
0.122,0.020,0.007628
0.122,0.061,0.093058
0.122,0.102,0.169620
0.122,0.143,0.241240
0.122,0.184,0.307990
0.122,0.224,0.366554
0.122,0.265,0.422674
0.122,0.306,0.474636
0.122,0.347,0.522086
0.122,0.388,0.565712
0.122,0.429,0.605662
0.122,0.469,0.641716
0.122,0.510,0.674196
0.122,0.551,0.703890
0.122,0.592,0.730272
0.122,0.633,0.753974
0.122,0.673,0.774600
0.122,0.714,0.794114
0.122,0.755,0.812394
0.122,0.796,0.828416
0.122,0.837,0.843126
0.122,0.878,0.856560
0.122,0.918,0.869192
0.122,0.959,0.880126
