J,h,magnetization_density
0.000,0.000,0.002536
0.000,0.061,0.061040
0.000,0.122,0.120864
0.000,0.184,0.183944
0.000,0.245,0.243456
0.000,0.306,0.298448
0.000,0.367,0.352880
0.000,0.429,0.404296
0.000,0.490,0.452888
0.000,0.551,0.501304
0.000,0.612,0.545240
0.000,0.673,0.586320
0.000,0.735,0.624608
0.000,0.796,0.659792
0.000,0.857,0.693208
0.000,0.918,0.723424
0.000,0.980,0.751024
0.000,1.041,0.776528
0.000,1.102,0.799840
0.000,1.163,0.820536
0.000,1.224,0.839864
0.000,1.286,0.856368
0.000,1.347,0.871600
0.000,1.408,0.884928
0.000,1.469,0.897728
0.000,1.531,0.909144
0.000,1.592,0.918992
0.000,1.653,0.928104
0.000,1.714,0.936016
0.000,1.776,0.943016
0.000,1.837,0.949344
0.000,1.898,0.955376
0.000,1.959,0.960344
0.000,2.020,0.964928
0.000,2.082,0.968640
0.000,2.143,0.972096
0.000,2.204,0.975048
0.000,2.265,0.977984
0.000,2.327,0.980632
0.000,2.388,0.982872
0.000,2.449,0.984768
0.000,2.510,0.986632
0.000,2.571,0.988160
0.000,2.633,0.989376
0.000,2.694,0.990456
0.000,2.755,0.991384
0.000,2.816,0.992472
0.000,2.878,0.993304
0.000,2.939,0.994040
0.000,3.000,0.994712
0.061,0.000,-0.003752
0.061,0.061,0.080448
0.061,0.122,0.155024
0.061,0.184,0.231080
0.061,0.245,0.302960
0.061,0.306,0.371056
0.061,0.367,0.435144
0.061,0.429,0.495608
0.061,0.490,0.549240
0.061,0.551,0.596776
0.061,0.612,0.641168
0.061,0.673,0.680912
0.061,0.735,0.717392
0.061,0.796,0.749112
0.061,0.857,0.777128
0.061,0.918,0.802688
0.061,0.980,0.825720
0.061,1.041,0.845328
0.061,1.102,0.863464
0.061,1.163,0.877992
0.061,1.224,0.891784
0.061,1.286,0.904368
0.061,1.347,0.915048
0.061,1.408,0.924848
0.061,1.469,0.933672
0.061,1.531,0.941376
0.061,1.592,0.947944
0.061,1.653,0.954168
0.061,1.714,0.959488
0.061,1.776,0.964288
0.061,1.837,0.968168
0.061,1.898,0.971696
0.061,1.959,0.974736
0.061,2.020,0.977728
0.061,2.082,0.980384
0.061,2.143,0.982744
0.061,2.204,0.984704
0.061,2.265,0.986520
0.061,2.327,0.988008
0.061,2.388,0.989288
0.061,2.449,0.990400
0.061,2.510,0.991344
0.061,2.571,0.992432
0.061,2.633,0.993272
0.061,2.694,0.994032
0.061,2.755,0.994712
0.061,2.816,0.995304
0.061,2.878,0.995808
0.061,2.939,0.996408
0.061,3.000,0.996952
0.122,0.000,0.003704
0.122,0.061,0.101336
0.122,0.122,0.212456
0.122,0.184,0.304240
0.122,0.245,0.392624
0.122,0.306,0.471088
0.122,0.367,0.542456
0.122,0.429,0.602896
0.122,0.490,0.656160
0.122,0.551,0.700664
0.122,0.612,0.739776
0.122,0.673,0.773368
0.122,0.735,0.802480
0.122,0.796,0.827168
0.122,0.857,0.849352
0.122,0.918,0.867096
0.122,0.980,0.883952
0.122,1.041,0.898056
0.122,1.102,0.909632
0.122,1.163,0.920536
0.122,1.224,0.930192
0.122,1.286,0.938624
0.122,1.347,0.946096
0.122,1.408,0.952768
0.122,1.469,0.958336
0.122,1.531,0.963256
0.122,1.592,0.967392
0.122,1.653,0.971152
0.122,1.714,0.974328
0.122,1.776,0.977400
0.122,1.837,0.980160
0.122,1.898,0.982512
0.122,1.959,0.984488
0.122,2.020,0.986416
0.122,2.082,0.987968
0.122,2.143,0.989192
0.122,2.204,0.990288
0.122,2.265,0.991280
0.122,2.327,0.992384
0.122,2.388,0.993248
0.122,2.449,0.994000
0.122,2.510,0.994696
0.122,2.571,0.995304
0.122,2.633,0.995808
0.122,2.694,0.996408
0.122,2.755,0.996952
0.122,2.816,0.997264
0.122,2.878,0.997552
0.122,2.939,0.997712
0.122,3.000,0.997992
0.184,0.000,0.001600
0.184,0.061,0.150248
0.184,0.122,0.291256
0.184,0.184,0.415600
0.184,0.245,0.514712
0.184,0.306,0.596664
0.184,0.367,0.663984
0.184,0.429,0.717232
0.184,0.490,0.760424
0.184,0.551,0.795912
0.184,0.612,0.825376
0.184,0.673,0.849424
0.184,0.735,0.870560
0.184,0.796,0.887760
0.184,0.857,0.902376
0.184,0.918,0.914816
0.184,0.980,0.925496
0.184,1.041,0.935032
0.184,1.102,0.943312
0.184,1.163,0.950488
0.184,1.224,0.956704
0.184,1.286,0.962080
0.184,1.347,0.966400
0.184,1.408,0.970264
0.184,1.469,0.973760
0.184,1.531,0.976952
0.184,1.592,0.979864
0.184,1.653,0.982248
0.184,1.714,0.984304
0.184,1.776,0.986232
0.184,1.837,0.987792
0.184,1.898,0.989128
0.184,1.959,0.990240
0.184,2.020,0.991224
0.184,2.082,0.992320
0.184,2.143,0.993192
0.184,2.204,0.993976
0.184,2.265,0.994680
0.184,2.327,0.995288
0.184,2.388,0.995800
0.184,2.449,0.996408
0.184,2.510,0.996952
0.184,2.571,0.997264
0.184,2.633,0.997552
0.184,2.694,0.997712
0.184,2.755,0.997992
0.184,2.816,0.998208
0.184,2.878,0.998416
0.184,2.939,0.998624
0.184,3.000,0.998824
0.245,0.000,0.001344
0.245,0.061,0.234240
0.245,0.122,0.427456
0.245,0.184,0.565408
0.245,0.245,0.662848
0.245,0.306,0.728136
0.245,0.367,0.778536
0.245,0.429,0.816936
0.245,0.490,0.846448
0.245,0.551,0.870344
0.245,0.612,0.889768
0.245,0.673,0.905440
0.245,0.735,0.918912
0.245,0.796,0.929848
0.245,0.857,0.939152
0.245,0.918,0.947568
0.245,0.980,0.954240
0.245,1.041,0.960216
0.245,1.102,0.965064
0.245,1.163,0.969288
0.245,1.224,0.972936
0.245,1.286,0.976304
0.245,1.347,0.979432
0.245,1.408,0.981896
0.245,1.469,0.984072
0.245,1.531,0.986072
0.245,1.592,0.987664
0.245,1.653,0.988984
0.245,1.714,0.990104
0.245,1.776,0.991160
0.245,1.837,0.992288
0.245,1.898,0.993152
0.245,1.959,0.993920
0.245,2.020,0.994640
0.245,2.082,0.995280
0.245,2.143,0.995792
0.245,2.204,0.996400
0.245,2.265,0.996944
0.245,2.327,0.997264
0.245,2.388,0.997552
0.245,2.449,0.997712
0.245,2.510,0.997992
0.245,2.571,0.998208
0.245,2.633,0.998416
0.245,2.694,0.998624
0.245,2.755,0.998824
0.245,2.816,0.998928
0.245,2.878,0.999096
0.245,2.939,0.999216
0.245,3.000,0.999304
0.306,0.000,0.010000
0.306,0.061,0.401240
0.306,0.122,0.615024
0.306,0.184,0.726888
0.306,0.245,0.791512
0.306,0.306,0.834600
0.306,0.367,0.865592
0.306,0.429,0.888856
0.306,0.490,0.907632
0.306,0.551,0.921624
0.306,0.612,0.933424
0.306,0.673,0.943312
0.306,0.735,0.950840
0.306,0.796,0.957616
0.306,0.857,0.963016
0.306,0.918,0.967736
0.306,0.980,0.971816
0.306,1.041,0.975504
0.306,1.102,0.978736
0.306,1.163,0.981384
0.306,1.224,0.983704
0.306,1.286,0.985784
0.306,1.347,0.987480
0.306,1.408,0.988864
0.306,1.469,0.990000
0.306,1.531,0.991024
0.306,1.592,0.992152
0.306,1.653,0.993104
0.306,1.714,0.993880
0.306,1.776,0.994608
0.306,1.837,0.995248
0.306,1.898,0.995776
0.306,1.959,0.996392
0.306,2.020,0.996936
0.306,2.082,0.997256
0.306,2.143,0.997552
0.306,2.204,0.997712
0.306,2.265,0.997992
0.306,2.327,0.998208
0.306,2.388,0.998416
0.306,2.449,0.998624
0.306,2.510,0.998824
0.306,2.571,0.998928
0.306,2.633,0.999096
0.306,2.694,0.999216
0.306,2.755,0.999304
0.306,2.816,0.999352
0.306,2.878,0.999440
0.306,2.939,0.999488
0.306,3.000,0.999528
0.367,0.000,-0.004664
0.367,0.061,0.660984
0.367,0.122,0.790688
0.367,0.184,0.848312
0.367,0.245,0.882528
0.367,0.306,0.905336
0.367,0.367,0.922672
0.367,0.429,0.935664
0.367,0.490,0.945776
0.367,0.551,0.953960
0.367,0.612,0.960264
0.367,0.673,0.965544
0.367,0.735,0.970056
0.367,0.796,0.974152
0.367,0.857,0.977800
0.367,0.918,0.980720
0.367,0.980,0.983160
0.367,1.041,0.985384
0.367,1.102,0.987168
0.367,1.163,0.988608
0.367,1.224,0.989832
0.367,1.286,0.990928
0.367,1.347,0.992080
0.367,1.408,0.992984
0.367,1.469,0.993768
0.367,1.531,0.994568
0.367,1.592,0.995216
0.367,1.653,0.995744
0.367,1.714,0.996360
0.367,1.776,0.996920
0.367,1.837,0.997248
0.367,1.898,0.997544
0.367,1.959,0.997712
0.367,2.020,0.997992
0.367,2.082,0.998208
0.367,2.143,0.998416
0.367,2.204,0.998624
0.367,2.265,0.998824
0.367,2.327,0.998928
0.367,2.388,0.999096
0.367,2.449,0.999216
0.367,2.510,0.999304
0.367,2.571,0.999352
0.367,2.633,0.999440
0.367,2.694,0.999488
0.367,2.755,0.999528
0.367,2.816,0.999592
0.367,2.878,0.999616
0.367,2.939,0.999672
0.367,3.000,0.999704
0.429,0.000,-0.015136
0.429,0.061,0.848456
0.429,0.122,0.894360
0.429,0.184,0.919872
0.429,0.245,0.935360
0.429,0.306,0.947128
0.429,0.367,0.956040
0.429,0.429,0.962584
0.429,0.490,0.967712
0.429,0.551,0.972296
0.429,0.612,0.976400
0.429,0.673,0.979584
0.429,0.735,0.982320
0.429,0.796,0.984848
0.429,0.857,0.986736
0.429,0.918,0.988304
0.429,0.980,0.989592
0.429,1.041,0.990768
0.429,1.102,0.991952
0.429,1.163,0.992896
0.429,1.224,0.993712
0.429,1.286,0.994472
0.429,1.347,0.995120
0.429,1.408,0.995704
0.429,1.469,0.996336
0.429,1.531,0.996888
0.429,1.592,0.997224
0.429,1.653,0.997528
0.429,1.714,0.997704
0.429,1.776,0.997984
0.429,1.837,0.998208
0.429,1.898,0.998416
0.429,1.959,0.998624
0.429,2.020,0.998824
0.429,2.082,0.998928
0.429,2.143,0.999096
0.429,2.204,0.999216
0.429,2.265,0.999304
0.429,2.327,0.999352
0.429,2.388,0.999440
0.429,2.449,0.999488
0.429,2.510,0.999528
0.429,2.571,0.999592
0.429,2.633,0.999616
0.429,2.694,0.999672
0.429,2.755,0.999704
0.429,2.816,0.999728
0.429,2.878,0.999744
0.429,2.939,0.999760
0.429,3.000,0.999784
0.490,0.000,-0.066408
0.490,0.061,0.929752
0.490,0.122,0.946056
0.490,0.184,0.956520
0.490,0.245,0.964000
0.490,0.306,0.969928
0.490,0.367,0.974616
0.490,0.429,0.978064
0.490,0.490,0.981192
0.490,0.551,0.983904
0.490,0.612,0.986088
0.490,0.673,0.987888
0.490,0.735,0.989224
0.490,0.796,0.990488
0.490,0.857,0.991752
0.490,0.918,0.992744
0.490,0.980,0.993584
0.490,1.041,0.994408
0.490,1.102,0.995080
0.490,1.163,0.995624
0.490,1.224,0.996272
0.490,1.286,0.996872
0.490,1.347,0.997208
0.490,1.408,0.997512
0.490,1.469,0.997680
0.490,1.531,0.997968
0.490,1.592,0.998200
0.490,1.653,0.998416
0.490,1.714,0.998624
0.490,1.776,0.998824
0.490,1.837,0.998928
