J,h,magnetization_density
0.000,0.000,0.000108
0.000,2.500,0.986274
0.000,5.000,0.999912
2.500,0.000,0.003982
2.500,2.500,1.000000
2.500,5.000,1.000000
5.000,0.000,0.005706
5.000,2.500,1.000000
5.000,5.000,1.000000
