J,h,magnetization_density
0.000,0.000,0.000480
0.000,2.500,0.009478
0.000,5.000,0.030692
2.500,0.000,-0.000178
2.500,2.500,0.032366
2.500,5.000,0.062964
5.000,0.000,-0.000176
5.000,2.500,0.034194
5.000,5.000,0.067016
