J,h,magnetization_density
0.000,-1.000,-0.002230
0.000,-0.959,-0.003008
0.000,-0.918,-0.002818
0.000,-0.878,-0.002490
0.000,-0.837,-0.002584
0.000,-0.796,-0.001400
0.000,-0.755,-0.001312
0.000,-0.714,-0.001144
0.000,-0.673,-0.000958
0.000,-0.633,-0.000844
0.000,-0.592,-0.000782
0.000,-0.551,-0.000620
0.000,-0.510,-0.001102
0.000,-0.469,-0.001044
0.000,-0.429,-0.000998
0.000,-0.388,-0.000932
0.000,-0.347,-0.000608
0.000,-0.306,-0.000454
0.000,-0.265,-0.001480
0.000,-0.224,-0.001404
0.000,-0.184,-0.001366
0.000,-0.143,-0.001320
0.000,-0.102,-0.000180
0.000,-0.061,-0.000404
0.000,-0.020,-0.000224
0.000,0.020,-0.000424
0.000,0.061,0.001538
0.000,0.102,0.001490
0.000,0.143,0.001450
0.000,0.184,0.001546
0.000,0.224,0.001564
0.000,0.265,0.001652
0.000,0.306,0.001834
0.000,0.347,0.000500
0.000,0.388,0.000754
0.000,0.429,0.000932
0.000,0.469,0.001072
0.000,0.510,0.000984
0.000,0.551,0.001050
0.000,0.592,0.001058
0.000,0.633,0.001124
0.000,0.673,0.001012
0.000,0.714,0.001120
0.000,0.755,0.001332
0.000,0.796,0.000732
0.000,0.837,0.000878
0.000,0.878,0.000774
0.000,0.918,0.002658
0.000,0.959,0.002726
0.000,1.000,0.002886
0.061,-1.000,-0.001088
0.061,-0.959,-0.000756
0.061,-0.918,-0.000692
0.061,-0.878,-0.000692
0.061,-0.837,-0.000968
0.061,-0.796,-0.000732
0.061,-0.755,-0.000696
0.061,-0.714,-0.000808
0.061,-0.673,-0.000722
0.061,-0.633,-0.000522
0.061,-0.592,-0.000268
0.061,-0.551,-0.002966
0.061,-0.510,-0.002942
0.061,-0.469,-0.002766
0.061,-0.429,-0.002650
0.061,-0.388,-0.001774
0.061,-0.347,-0.001602
0.061,-0.306,-0.001486
0.061,-0.265,-0.001386
0.061,-0.224,0.000518
0.061,-0.184,0.000584
0.061,-0.143,0.000626
0.061,-0.102,0.000510
0.061,-0.061,0.000700
0.061,-0.020,0.000822
0.061,0.020,-0.000954
0.061,0.061,-0.000678
0.061,0.102,-0.000616
0.061,0.143,-0.000556
0.061,0.184,-0.000490
0.061,0.224,-0.000562
0.061,0.265,-0.000422
0.061,0.306,0.001004
0.061,0.347,0.001280
0.061,0.388,0.001512
0.061,0.429,0.001492
0.061,0.469,0.001564
0.061,0.510,-0.000054
0.061,0.551,-0.000020
0.061,0.592,0.000078
0.061,0.633,0.000488
0.061,0.673,0.000594
0.061,0.714,0.000828
0.061,0.755,0.000854
0.061,0.796,0.000836
0.061,0.837,0.001096
0.061,0.878,0.002480
0.061,0.918,0.002602
0.061,0.959,0.003026
0.061,1.000,0.003058
0.122,-1.000,-0.001352
0.122,-0.959,-0.001030
0.122,-0.918,-0.000896
0.122,-0.878,-0.001004
0.122,-0.837,-0.000906
0.122,-0.796,-0.000926
0.122,-0.755,-0.000750
0.122,-0.714,-0.000658
0.122,-0.673,-0.001402
0.122,-0.633,-0.001324
0.122,-0.592,-0.001264
0.122,-0.551,-0.001146
0.122,-0.510,0.000036
0.122,-0.469,0.000084
0.122,-0.429,0.000164
0.122,-0.388,0.000118
0.122,-0.347,0.000358
0.122,-0.306,0.002026
0.122,-0.265,0.002176
0.122,-0.224,0.002174
0.122,-0.184,0.002300
0.122,-0.143,0.002348
0.122,-0.102,0.002286
0.122,-0.061,0.002306
0.122,-0.020,-0.000420
0.122,0.020,-0.000404
0.122,0.061,-0.000238
0.122,0.102,-0.000242
0.122,0.143,-0.000126
0.122,0.184,-0.000190
0.122,0.224,-0.000020
0.122,0.265,0.000044
0.122,0.306,0.000072
0.122,0.347,0.000030
0.122,0.388,-0.000082
0.122,0.429,-0.000100
0.122,0.469,0.000184
0.122,0.510,0.000484
0.122,0.551,0.001246
0.122,0.592,0.001380
0.122,0.633,0.001454
0.122,0.673,0.001566
0.122,0.714,0.002002
0.122,0.755,0.001958
0.122,0.796,0.002102
0.122,0.837,0.002542
0.122,0.878,0.002384
0.122,0.918,0.002510
0.122,0.959,0.002452
0.122,1.000,0.002372
0.184,-1.000,-0.001618
0.184,-0.959,-0.001276
0.184,-0.918,-0.000974
0.184,-0.878,-0.000900
0.184,-0.837,-0.000730
0.184,-0.796,-0.001824
0.184,-0.755,-0.001620
0.184,-0.714,-0.001348
0.184,-0.673,-0.001240
0.184,-0.633,-0.001496
0.184,-0.592,-0.001332
0.184,-0.551,-0.001174
0.184,-0.510,-0.001212
0.184,-0.469,-0.001220
0.184,-0.429,-0.001120
0.184,-0.388,-0.001130
0.184,-0.347,-0.000348
0.184,-0.306,-0.000282
0.184,-0.265,-0.000254
0.184,-0.224,-0.000480
0.184,-0.184,-0.000434
0.184,-0.143,-0.000554
0.184,-0.102,-0.000450
0.184,-0.061,0.000082
0.184,-0.020,0.000150
0.184,0.020,0.000098
0.184,0.061,0.000200
0.184,0.102,0.000486
0.184,0.143,0.000716
0.184,0.184,0.000672
0.184,0.224,0.000718
0.184,0.265,0.000948
0.184,0.306,0.001026
0.184,0.347,0.001056
0.184,0.388,0.001104
0.184,0.429,0.001198
0.184,0.469,0.001362
0.184,0.510,-0.001322
0.184,0.551,-0.000994
0.184,0.592,-0.000796
0.184,0.633,-0.000780
0.184,0.673,-0.000804
0.184,0.714,-0.000684
0.184,0.755,-0.000526
0.184,0.796,0.002296
0.184,0.837,0.002394
0.184,0.878,0.002682
0.184,0.918,0.002706
0.184,0.959,0.001890
0.184,1.000,0.002132
0.245,-1.000,-0.001488
0.245,-0.959,-0.001516
0.245,-0.918,-0.000946
0.245,-0.878,-0.000896
0.245,-0.837,-0.000858
0.245,-0.796,-0.000582
0.245,-0.755,-0.000604
0.245,-0.714,-0.000304
0.245,-0.673,-0.000314
0.245,-0.633,-0.000240
0.245,-0.592,-0.000236
0.245,-0.551,0.000108
0.245,-0.510,0.000446
0.245,-0.469,0.000608
0.245,-0.429,0.000506
0.245,-0.388,-0.000672
0.245,-0.347,-0.000468
0.245,-0.306,-0.000376
0.245,-0.265,-0.000268
0.245,-0.224,-0.000250
0.245,-0.184,-0.001374
0.245,-0.143,-0.001208
0.245,-0.102,-0.001126
0.245,-0.061,0.001566
0.245,-0.020,0.001714
0.245,0.020,0.001816
0.245,0.061,0.001928
0.245,0.102,0.001886
0.245,0.143,0.001740
0.245,0.184,0.001648
0.245,0.224,0.001878
0.245,0.265,0.001932
0.245,0.306,0.002016
0.245,0.347,0.002194
0.245,0.388,0.002376
0.245,0.429,0.002534
0.245,0.469,0.001382
0.245,0.510,0.001464
0.245,0.551,0.001568
0.245,0.592,0.001546
0.245,0.633,0.001622
0.245,0.673,0.002118
0.245,0.714,0.002286
0.245,0.755,0.002322
0.245,0.796,0.002118
0.245,0.837,0.002258
0.245,0.878,0.002350
0.245,0.918,0.002454
0.245,0.959,0.002560
0.245,1.000,0.002558
0.306,-1.000,-0.002184
0.306,-0.959,-0.001848
0.306,-0.918,-0.001826
0.306,-0.878,-0.001802
0.306,-0.837,-0.001866
0.306,-0.796,-0.001882
0.306,-0.755,-0.001644
0.306,-0.714,-0.002812
0.306,-0.673,-0.002592
0.306,-0.633,-0.002336
0.306,-0.592,-0.002134
0.306,-0.551,-0.001968
0.306,-0.510,-0.001992
0.306,-0.469,-0.001944
0.306,-0.429,-0.001880
0.306,-0.388,-0.001674
0.306,-0.347,-0.001644
0.306,-0.306,-0.001546
0.306,-0.265,-0.001244
0.306,-0.224,-0.001050
0.306,-0.184,-0.001118
0.306,-0.143,0.000832
0.306,-0.102,0.000922
0.306,-0.061,0.001066
0.306,-0.020,0.001056
0.306,0.020,0.001002
0.306,0.061,0.001296
0.306,0.102,0.001032
0.306,0.143,0.000092
0.306,0.184,0.000102
0.306,0.224,0.000144
0.306,0.265,0.000302
0.306,0.306,0.000458
0.306,0.347,0.000350
0.306,0.388,0.001260
0.306,0.429,0.001336
0.306,0.469,0.001404
0.306,0.510,0.001386
0.306,0.551,0.002458
0.306,0.592,0.002522
0.306,0.633,0.002684
0.306,0.673,0.002724
0.306,0.714,0.002528
0.306,0.755,0.002696
0.306,0.796,0.003008
0.306,0.837,0.003276
0.306,0.878,0.003482
0.306,0.918,0.003414
0.306,0.959,0.003596
0.306,1.000,0.002088
0.367,-1.000,-0.002342
0.367,-0.959,-0.002196
0.367,-0.918,-0.002184
0.367,-0.878,-0.001936
0.367,-0.837,-0.001678
0.367,-0.796,-0.001586
0.367,-0.755,-0.001436
0.367,-0.714,-0.001418
0.367,-0.673,-0.001400
0.367,-0.633,-0.001146
0.367,-0.592,-0.002140
0.367,-0.551,-0.001884
0.367,-0.510,-0.001614
0.367,-0.469,0.000048
0.367,-0.429,0.000122
0.367,-0.388,0.000120
0.367,-0.347,0.000452
0.367,-0.306,0.000674
0.367,-0.265,0.000760
0.367,-0.224,0.000792
0.367,-0.184,-0.000326
0.367,-0.143,-0.000472
0.367,-0.102,-0.000592
0.367,-0.061,-0.000516
0.367,-0.020,-0.000600
0.367,0.020,-0.000614
0.367,0.061,-0.000434
0.367,0.102,-0.000532
0.367,0.143,-0.000284
0.367,0.184,-0.000174
0.367,0.224,-0.000178
0.367,0.265,0.001412
0.367,0.306,0.001544
0.367,0.347,0.001626
0.367,0.388,0.001720
0.367,0.429,0.001146
0.367,0.469,0.001256
0.367,0.510,0.001374
0.367,0.551,0.001418
0.367,0.592,0.001362
