J,h,magnetization_density
0.000,0.000,-0.002744
0.000,0.263,0.000240
0.000,0.526,0.002016
0.000,0.789,0.003984
0.000,1.053,0.005608
0.000,1.316,0.006920
0.000,1.579,0.010016
0.000,1.842,0.013032
0.000,2.105,0.017456
0.000,2.368,0.019992
0.000,2.632,0.023048
0.000,2.895,0.026392
0.000,3.158,0.029880
0.000,3.421,0.032864
0.000,3.684,0.036200
0.000,3.947,0.040256
0.000,4.211,0.042968
0.000,4.474,0.046120
0.000,4.737,0.048888
0.000,5.000,0.051888
0.263,0.000,0.002656
0.263,0.263,0.002768
0.263,0.526,0.003800
0.263,0.789,0.004736
0.263,1.053,0.008112
0.263,1.316,0.007856
0.263,1.579,0.011792
0.263,1.842,0.015120
0.263,2.105,0.018248
0.263,2.368,0.022104
0.263,2.632,0.024800
0.263,2.895,0.027600
0.263,3.158,0.029784
0.263,3.421,0.034336
0.263,3.684,0.036016
0.263,3.947,0.039904
0.263,4.211,0.042752
0.263,4.474,0.046456
0.263,4.737,0.050376
0.263,5.000,0.052208
0.526,0.000,0.000392
0.526,0.263,0.003680
0.526,0.526,0.006344
0.526,0.789,0.009616
0.526,1.053,0.012544
0.526,1.316,0.013512
0.526,1.579,0.016280
0.526,1.842,0.020520
0.526,2.105,0.022888
0.526,2.368,0.024872
0.526,2.632,0.026208
0.526,2.895,0.032592
0.526,3.158,0.033840
0.526,3.421,0.035688
0.526,3.684,0.037392
0.526,3.947,0.041048
0.526,4.211,0.043568
0.526,4.474,0.046640
0.526,4.737,0.049728
0.526,5.000,0.053504
0.789,0.000,-0.001464
0.789,0.263,0.003016
0.789,0.526,0.005880
0.789,0.789,0.010104
0.789,1.053,0.014248
0.789,1.316,0.016936
0.789,1.579,0.018440
0.789,1.842,0.022168
0.789,2.105,0.026040
0.789,2.368,0.026768
0.789,2.632,0.030080
0.789,2.895,0.032216
0.789,3.158,0.035088
0.789,3.421,0.038720
0.789,3.684,0.040480
0.789,3.947,0.043496
0.789,4.211,0.044768
0.789,4.474,0.048304
0.789,4.737,0.050320
0.789,5.000,0.053480
1.053,0.000,-0.002000
1.053,0.263,0.002752
1.053,0.526,0.007760
1.053,0.789,0.011304
1.053,1.053,0.015728
1.053,1.316,0.019448
1.053,1.579,0.021136
1.053,1.842,0.022848
1.053,2.105,0.026920
1.053,2.368,0.027536
1.053,2.632,0.030288
1.053,2.895,0.034424
1.053,3.158,0.036432
1.053,3.421,0.039440
1.053,3.684,0.042048
1.053,3.947,0.045336
1.053,4.211,0.046296
1.053,4.474,0.048576
1.053,4.737,0.050840
1.053,5.000,0.052912
1.316,0.000,-0.001336
1.316,0.263,0.003152
1.316,0.526,0.005496
1.316,0.789,0.007264
1.316,1.053,0.009960
1.316,1.316,0.016448
1.316,1.579,0.016408
1.316,1.842,0.019944
1.316,2.105,0.022056
1.316,2.368,0.025384
1.316,2.632,0.027936
1.316,2.895,0.030720
1.316,3.158,0.034344
1.316,3.421,0.038776
1.316,3.684,0.041344
1.316,3.947,0.041544
1.316,4.211,0.044144
1.316,4.474,0.047384
1.316,4.737,0.052576
1.316,5.000,0.054176
1.579,0.000,-0.000272
1.579,0.263,0.003640
1.579,0.526,0.006064
1.579,0.789,0.007184
1.579,1.053,0.010464
1.579,1.316,0.017336
1.579,1.579,0.016872
1.579,1.842,0.019608
1.579,2.105,0.023480
1.579,2.368,0.024464
1.579,2.632,0.027248
1.579,2.895,0.028488
1.579,3.158,0.030184
1.579,3.421,0.033752
1.579,3.684,0.039120
1.579,3.947,0.041792
1.579,4.211,0.044696
1.579,4.474,0.050408
1.579,4.737,0.052856
1.579,5.000,0.054384
1.842,0.000,0.001400
1.842,0.263,0.003168
1.842,0.526,0.004768
1.842,0.789,0.008232
1.842,1.053,0.011008
1.842,1.316,0.015456
1.842,1.579,0.018184
1.842,1.842,0.021272
1.842,2.105,0.024624
1.842,2.368,0.025416
1.842,2.632,0.027304
1.842,2.895,0.030328
1.842,3.158,0.033120
1.842,3.421,0.036224
1.842,3.684,0.041648
1.842,3.947,0.043136
1.842,4.211,0.046504
1.842,4.474,0.048680
1.842,4.737,0.052504
1.842,5.000,0.054312
2.105,0.000,-0.002696
2.105,0.263,0.002688
2.105,0.526,0.002336
2.105,0.789,0.007904
2.105,1.053,0.011576
2.105,1.316,0.015536
2.105,1.579,0.018104
2.105,1.842,0.020488
2.105,2.105,0.021568
2.105,2.368,0.023320
2.105,2.632,0.026512
2.105,2.895,0.029296
2.105,3.158,0.031752
2.105,3.421,0.036128
2.105,3.684,0.039848
2.105,3.947,0.044224
2.105,4.211,0.044680
2.105,4.474,0.048888
2.105,4.737,0.052080
2.105,5.000,0.056168
2.368,0.000,0.004720
2.368,0.263,0.003880
2.368,0.526,0.004320
2.368,0.789,0.006784
2.368,1.053,0.010808
2.368,1.316,0.010832
2.368,1.579,0.017912
2.368,1.842,0.019584
2.368,2.105,0.021792
2.368,2.368,0.023344
2.368,2.632,0.027752
2.368,2.895,0.029400
2.368,3.158,0.033208
2.368,3.421,0.038752
2.368,3.684,0.040392
2.368,3.947,0.043160
2.368,4.211,0.048792
2.368,4.474,0.049920
2.368,4.737,0.052528
2.368,5.000,0.056952
2.632,0.000,-0.006736
2.632,0.263,-0.001720
2.632,0.526,0.008520
2.632,0.789,0.011744
2.632,1.053,0.011512
2.632,1.316,0.018576
2.632,1.579,0.018264
2.632,1.842,0.021504
2.632,2.105,0.023992
2.632,2.368,0.027288
2.632,2.632,0.030408
2.632,2.895,0.033552
2.632,3.158,0.037208
2.632,3.421,0.037584
2.632,3.684,0.040944
2.632,3.947,0.045632
2.632,4.211,0.047040
2.632,4.474,0.051376
2.632,4.737,0.053736
2.632,5.000,0.056920
2.895,0.000,0.003960
2.895,0.263,0.005688
2.895,0.526,0.007208
2.895,0.789,0.007984
2.895,1.053,0.012736
2.895,1.316,0.014376
2.895,1.579,0.017208
2.895,1.842,0.024360
2.895,2.105,0.026368
2.895,2.368,0.028264
2.895,2.632,0.029352
2.895,2.895,0.030640
2.895,3.158,0.037272
2.895,3.421,0.038320
2.895,3.684,0.040608
2.895,3.947,0.045296
2.895,4.211,0.050336
2.895,4.474,0.048192
2.895,4.737,0.052968
2.895,5.000,0.055736
3.158,0.000,-0.002280
3.158,0.263,0.005128
3.158,0.526,0.007496
3.158,0.789,0.014440
3.158,1.053,0.013792
3.158,1.316,0.016280
3.158,1.579,0.020816
3.158,1.842,0.024512
3.158,2.105,0.025040
3.158,2.368,0.029496
3.158,2.632,0.029704
3.158,2.895,0.033264
3.158,3.158,0.037000
3.158,3.421,0.037016
3.158,3.684,0.042312
3.158,3.947,0.041736
3.158,4.211,0.046224
3.158,4.474,0.053560
3.158,4.737,0.053984
3.158,5.000,0.056896
3.421,0.000,0.002848
3.421,0.263,0.005912
3.421,0.526,0.004024
3.421,0.789,0.000568
3.421,1.053,0.009080
3.421,1.316,0.011008
3.421,1.579,0.016888
3.421,1.842,0.019024
3.421,2.105,0.023296
3.421,2.368,0.027328
3.421,2.632,0.029896
3.421,2.895,0.034000
3.421,3.158,0.037088
3.421,3.421,0.038576
3.421,3.684,0.043600
3.421,3.947,0.040800
3.421,4.211,0.045656
3.421,4.474,0.050160
3.421,4.737,0.054832
3.421,5.000,0.057576
3.684,0.000,-0.001344
3.684,0.263,0.000600
3.684,0.526,0.004824
3.684,0.789,0.015656
3.684,1.053,0.014888
3.684,1.316,0.016680
3.684,1.579,0.017176
3.684,1.842,0.024968
3.684,2.105,0.025016
3.684,2.368,0.031680
3.684,2.632,0.032616
3.684,2.895,0.037808
3.684,3.158,0.037144
3.684,3.421,0.041712
3.684,3.684,0.041048
3.684,3.947,0.045264
3.684,4.211,0.049232
3.684,4.474,0.051144
3.684,4.737,0.055408
3.684,5.000,0.059832
3.947,0.000,0.002000
3.947,0.263,0.005736
3.947,0.526,0.003560
3.947,0.789,0.007800
3.947,1.053,0.013776
3.947,1.316,0.015440
3.947,1.579,0.021528
3.947,1.842,0.024208
3.947,2.105,0.023944
3.947,2.368,0.026968
3.947,2.632,0.030080
3.947,2.895,0.032216
3.947,3.158,0.037208
3.947,3.421,0.039992
3.947,3.684,0.042064
3.947,3.947,0.044384
3.947,4.211,0.050200
3.947,4.474,0.054480
3.947,4.737,0.055008
3.947,5.000,0.056888
4.211,0.000,0.000432
4.211,0.263,0.003128
4.211,0.526,0.007264
4.211,0.789,0.010360
