J,h,magnetization_density
0.000,0.000,-1.000000
0.000,0.051,0.029768
0.000,0.101,0.099912
0.000,0.152,0.150832
0.000,0.202,0.200952
0.000,0.253,0.249456
0.000,0.303,0.295568
0.000,0.354,0.342048
0.000,0.404,0.385064
0.000,0.455,0.427424
0.000,0.505,0.467976
0.000,0.556,0.506304
0.000,0.606,0.542944
0.000,0.657,0.577544
0.000,0.707,0.610352
0.000,0.758,0.639648
0.000,0.808,0.668920
0.000,0.859,0.697008
0.000,0.909,0.722088
0.000,0.960,0.745296
0.000,1.010,0.767040
0.000,1.061,0.786888
0.000,1.111,0.805072
0.000,1.162,0.821456
0.000,1.212,0.837184
0.000,1.263,0.851936
0.000,1.313,0.865696
0.000,1.364,0.878128
0.000,1.414,0.889376
0.000,1.465,0.899552
0.000,1.515,0.908440
0.000,1.566,0.916632
0.000,1.616,0.924096
0.000,1.667,0.931080
0.000,1.717,0.937472
0.000,1.768,0.942912
0.000,1.818,0.948176
0.000,1.869,0.953080
0.000,1.919,0.957784
0.000,1.970,0.961808
0.000,2.020,0.965192
0.000,2.071,0.968496
0.000,2.121,0.971456
0.000,2.172,0.974200
0.000,2.222,0.976720
0.000,2.273,0.978800
0.000,2.323,0.980768
0.000,2.374,0.982544
0.000,2.424,0.984184
0.000,2.475,0.985680
0.000,2.525,0.986904
0.000,2.576,0.988104
0.000,2.626,0.989296
0.000,2.677,0.990424
0.000,2.727,0.991248
0.000,2.778,0.992032
0.000,2.828,0.992800
0.000,2.879,0.993616
0.000,2.929,0.994224
0.000,2.980,0.994768
0.000,3.030,0.995344
0.000,3.081,0.995776
0.000,3.131,0.996192
0.000,3.182,0.996528
0.000,3.232,0.996848
0.000,3.283,0.997120
0.000,3.333,0.997440
0.000,3.384,0.997704
0.000,3.434,0.997904
0.000,3.485,0.998088
0.000,3.535,0.998312
0.000,3.586,0.998480
0.000,3.636,0.998632
0.000,3.687,0.998752
0.000,3.737,0.998864
0.000,3.788,0.998992
0.000,3.838,0.999072
0.000,3.889,0.999144
0.000,3.939,0.999256
0.000,3.990,0.999312
0.000,4.040,0.999360
0.000,4.091,0.999432
0.000,4.141,0.999472
0.000,4.192,0.999520
0.000,4.242,0.999576
0.000,4.293,0.999584
0.000,4.343,0.999616
0.000,4.394,0.999672
0.000,4.444,0.999672
0.000,4.495,0.999696
0.000,4.545,0.999720
0.000,4.596,0.999736
0.000,4.646,0.999768
0.000,4.697,0.999792
0.000,4.747,0.999808
0.000,4.798,0.999824
0.000,4.848,0.999824
0.000,4.899,0.999856
0.000,4.949,0.999864
0.000,5.000,0.999896
0.051,0.000,0.004736
0.051,0.051,0.063912
0.051,0.101,0.128672
0.051,0.152,0.187440
0.051,0.202,0.244200
0.051,0.253,0.303120
0.051,0.303,0.357192
0.051,0.354,0.408872
0.051,0.404,0.458744
0.051,0.455,0.504144
0.051,0.505,0.546776
0.051,0.556,0.585872
0.051,0.606,0.622616
0.051,0.657,0.655272
0.051,0.707,0.687240
0.051,0.758,0.716896
0.051,0.808,0.743088
0.051,0.859,0.766800
0.051,0.909,0.788408
0.051,0.960,0.807624
0.051,1.010,0.825784
0.051,1.061,0.842432
0.051,1.111,0.857512
0.051,1.162,0.871432
0.051,1.212,0.883824
0.051,1.263,0.894800
0.051,1.313,0.904728
0.051,1.364,0.913488
0.051,1.414,0.921416
0.051,1.465,0.929000
0.051,1.515,0.935864
0.051,1.566,0.941560
0.051,1.616,0.947136
0.051,1.667,0.952176
0.051,1.717,0.957056
0.051,1.768,0.961272
0.051,1.818,0.964760
0.051,1.869,0.968016
0.051,1.919,0.971032
0.051,1.970,0.973904
0.051,2.020,0.976512
0.051,2.071,0.978640
0.051,2.121,0.980624
0.051,2.172,0.982400
0.051,2.222,0.983992
0.051,2.273,0.985528
0.051,2.323,0.986824
0.051,2.374,0.988048
0.051,2.424,0.989264
0.051,2.475,0.990424
0.051,2.525,0.991216
0.051,2.576,0.991984
0.051,2.626,0.992784
0.051,2.677,0.993616
0.051,2.727,0.994216
0.051,2.778,0.994760
0.051,2.828,0.995336
0.051,2.879,0.995776
0.051,2.929,0.996184
0.051,2.980,0.996520
0.051,3.030,0.996848
0.051,3.081,0.997120
0.051,3.131,0.997440
0.051,3.182,0.997704
0.051,3.232,0.997904
0.051,3.283,0.998088
0.051,3.333,0.998312
0.051,3.384,0.998480
0.051,3.434,0.998632
0.051,3.485,0.998752
0.051,3.535,0.998864
0.051,3.586,0.998992
0.051,3.636,0.999064
0.051,3.687,0.999136
0.051,3.737,0.999256
0.051,3.788,0.999312
0.051,3.838,0.999360
0.051,3.889,0.999432
0.051,3.939,0.999472
0.051,3.990,0.999520
0.051,4.040,0.999576
0.051,4.091,0.999584
0.051,4.141,0.999616
0.051,4.192,0.999672
0.051,4.242,0.999672
0.051,4.293,0.999696
0.051,4.343,0.999720
0.051,4.394,0.999736
0.051,4.444,0.999768
0.051,4.495,0.999792
0.051,4.545,0.999808
0.051,4.596,0.999824
0.051,4.646,0.999824
0.051,4.697,0.999856
0.051,4.747,0.999864
0.051,4.798,0.999896
0.051,4.848,0.999904
0.051,4.899,0.999912
0.051,4.949,0.999920
0.051,5.000,0.999920
0.101,0.000,0.001104
0.101,0.051,0.084640
0.101,0.101,0.157888
0.101,0.152,0.232968
0.101,0.202,0.305256
0.101,0.253,0.373296
0.101,0.303,0.436392
0.101,0.354,0.492224
0.101,0.404,0.543496
0.101,0.455,0.589416
0.101,0.505,0.632288
0.101,0.556,0.669104
0.101,0.606,0.704664
0.101,0.657,0.736208
0.101,0.707,0.763096
0.101,0.758,0.787128
0.101,0.808,0.808720
0.101,0.859,0.828360
0.101,0.909,0.846080
0.101,0.960,0.861808
0.101,1.010,0.876040
0.101,1.061,0.888648
0.101,1.111,0.899656
0.101,1.162,0.909088
0.101,1.212,0.918056
0.101,1.263,0.926280
0.101,1.313,0.933544
0.101,1.364,0.939744
0.101,1.414,0.945640
0.101,1.465,0.951008
0.101,1.515,0.956144
0.101,1.566,0.960560
0.101,1.616,0.964168
0.101,1.667,0.967584
0.101,1.717,0.970704
0.101,1.768,0.973496
0.101,1.818,0.976120
0.101,1.869,0.978368
0.101,1.919,0.980464
0.101,1.970,0.982256
0.101,2.020,0.983864
0.101,2.071,0.985392
0.101,2.121,0.986672
0.101,2.172,0.987920
0.101,2.222,0.989208
0.101,2.273,0.990384
0.101,2.323,0.991184
0.101,2.374,0.991984
0.101,2.424,0.992760
0.101,2.475,0.993576
0.101,2.525,0.994200
0.101,2.576,0.994760
0.101,2.626,0.995336
0.101,2.677,0.995768
0.101,2.727,0.996176
0.101,2.778,0.996520
0.101,2.828,0.996848
0.101,2.879,0.997120
0.101,2.929,0.997440
0.101,2.980,0.997704
0.101,3.030,0.997904
0.101,3.081,0.998088
0.101,3.131,0.998312
0.101,3.182,0.998480
0.101,3.232,0.998632
0.101,3.283,0.998752
0.101,3.333,0.998864
0.101,3.384,0.998992
0.101,3.434,0.999064
0.101,3.485,0.999136
0.101,3.535,0.999248
0.101,3.586,0.999304
0.101,3.636,0.999360
0.101,3.687,0.999432
0.101,3.737,0.999472
0.101,3.788,0.999520
0.101,3.838,0.999576
0.101,3.889,0.999584
0.101,3.939,0.999616
0.101,3.990,0.999672
0.101,4.040,0.999672
0.101,4.091,0.999696
0.101,4.141,0.999720
0.101,4.192,0.999736
0.101,4.242,0.999768
0.101,4.293,0.999792
0.101,4.343,0.999808
0.101,4.394,0.999824
0.101,4.444,0.999824
0.101,4.495,0.999856
0.101,4.545,0.999864
0.101,4.596,0.999896
0.101,4.646,0.999904
0.101,4.697,0.999912
0.101,4.747,0.999920
0.101,4.798,0.999920
0.101,4.848,0.999928
0.101,4.899,0.999936
0.101,4.949,0.999944
0.101,5.000,0.999944
0.152,0.000,-0.002288
0.152,0.051,0.105304
0.152,0.101,0.201944
0.152,0.152,0.298584
0.152,0.202,0.388584
0.152,0.253,0.460976
0.152,0.303,0.529808
0.152,0.354,0.588704
0.152,0.404,0.638424
0.152,0.455,0.681000
0.152,0.505,0.720128
0.152,0.556,0.753528
0.152,0.606,0.781168
0.152,0.657,0.806736
0.152,0.707,0.828656
0.152,0.758,0.848024
0.152,0.808,0.865024
0.152,0.859,0.879768
0.152,0.909,0.892360
0.152,0.960,0.903192
0.152,1.010,0.913224
0.152,1.061,0.922288
0.152,1.111,0.930576
0.152,1.162,0.937256
0.152,1.212,0.943696
0.152,1.263,0.949488
0.152,1.313,0.954904
0.152,1.364,0.959480
0.152,1.414,0.963336
0.152,1.465,0.966944
0.152,1.515,0.970128
0.152,1.566,0.973128
0.152,1.616,0.975848
0.152,1.667,0.977992
0.152,1.717,0.980144
0.152,1.768,0.982032
0.152,1.818,0.983736
0.152,1.869,0.985264
0.152,1.919,0.986552
0.152,1.970,0.987808
0.152,2.020,0.989072
0.152,2.071,0.990280
0.152,2.121,0.991136
0.152,2.172,0.991952
0.152,2.222,0.992744
0.152,2.273,0.993576
0.152,2.323,0.994184
0.152,2.374,0.994728
0.152,2.424,0.995328
0.152,2.475,0.995768
0.152,2.525,0.996176
0.152,2.576,0.996512
0.152,2.626,0.996840
0.152,2.677,0.997120
0.152,2.727,0.997440
0.152,2.778,0.997704
0.152,2.828,0.997904
0.152,2.879,0.998088
0.152,2.929,0.998312
0.152,2.980,0.998480
0.152,3.030,0.998632
0.152,3.081,0.998752
0.152,3.131,0.998864
0.152,3.182,0.998992
0.152,3.232,0.999064
0.152,3.283,0.999136
0.152,3.333,0.999248
0.152,3.384,0.999304
0.152,3.434,0.999352
0.152,3.485,0.999424
0.152,3.535,0.999472
0.152,3.586,0.999520
0.152,3.636,0.999576
0.152,3.687,0.999584
0.152,3.737,0.999616
0.152,3.788,0.999672
0.152,3.838,0.999672
0.152,3.889,0.999696
0.152,3.939,0.999720
0.152,3.990,0.999736
0.152,4.040,0.999768
0.152,4.091,0.999792
0.152,4.141,0.999808
0.152,4.192,0.999824
0.152,4.242,0.999824
0.152,4.293,0.999856
0.152,4.343,0.999864
0.152,4.394,0.999896
0.152,4.444,0.999904
0.152,4.495,0.999912
0.152,4.545,0.999920
0.152,4.596,0.999920
0.152,4.646,0.999928
0.152,4.697,0.999936
0.152,4.747,0.999944
0.152,4.798,0.999944
0.152,4.848,0.999952
0.152,4.899,0.999952
0.152,4.949,0.999952
0.152,5.000,0.999952
0.202,0.000,0.001448
0.202,0.051,0.150728
0.202,0.101,0.284400
0.202,0.152,0.393672
0.202,0.202,0.492576
0.202,0.253,0.572664
0.202,0.303,0.637128
0.202,0.354,0.688912
0.202,0.404,0.733744
0.202,0.455,0.770752
0.202,0.505,0.800344
0.202,0.556,0.826136
0.202,0.606,0.847728
0.202,0.657,0.866568
0.202,0.707,0.881720
0.202,0.758,0.894880
0.202,0.808,0.906296
0.202,0.859,0.916552
0.202,0.909,0.926000
0.202,0.960,0.933648
0.202,1.010,0.940984
0.202,1.061,0.947216
0.202,1.111,0.953248
0.202,1.162,0.958168
0.202,1.212,0.962248
0.202,1.263,0.966016
0.202,1.313,0.969432
0.202,1.364,0.972560
0.202,1.414,0.975352
0.202,1.465,0.977688
0.202,1.515,0.979840
0.202,1.566,0.981696
0.202,1.616,0.983456
0.202,1.667,0.985072
0.202,1.717,0.986416
0.202,1.768,0.987688
0.202,1.818,0.988984
0.202,1.869,0.990168
0.202,1.919,0.991024
0.202,1.970,0.991888
0.202,2.020,0.992712
0.202,2.071,0.993552
0.202,2.121,0.994168
0.202,2.172,0.994728
0.202,2.222,0.995312
0.202,2.273,0.995744
0.202,2.323,0.996168
0.202,2.374,0.996512
0.202,2.424,0.996840
0.202,2.475,0.997112
0.202,2.525,0.997432
0.202,2.576,0.997704
0.202,2.626,0.997904
0.202,2.677,0.998088
0.202,2.727,0.998312
0.202,2.778,0.998480
0.202,2.828,0.998632
0.202,2.879,0.998752
0.202,2.929,0.998864
0.202,2.980,0.998992
0.202,3.030,0.999064
0.202,3.081,0.999136
0.202,3.131,0.999248
0.202,3.182,0.999304
0.202,3.232,0.999352
0.202,3.283,0.999424
0.202,3.333,0.999464
0.202,3.384,0.999512
0.202,3.434,0.999576
0.202,3.485,0.999584
0.202,3.535,0.999616
0.202,3.586,0.999672
0.202,3.636,0.999672
0.202,3.687,0.999696
0.202,3.737,0.999720
0.202,3.788,0.999736
0.202,3.838,0.999768
0.202,3.889,0.999792
0.202,3.939,0.999808
0.202,3.990,0.999824
0.202,4.040,0.999824
0.202,4.091,0.999856
0.202,4.141,0.999864
0.202,4.192,0.999896
0.202,4.242,0.999904
0.202,4.293,0.999912
0.202,4.343,0.999920
0.202,4.394,0.999920
0.202,4.444,0.999928
0.202,4.495,0.999936
0.202,4.545,0.999944
0.202,4.596,0.999944
0.202,4.646,0.999952
0.202,4.697,0.999952
0.202,4.747,0.999952
0.202,4.798,0.999952
0.202,4.848,0.999968
0.202,4.899,0.999968
0.202,4.949,0.999968
0.202,5.000,0.999976
0.253,0.000,-0.001504
0.253,0.051,0.212144
0.253,0.101,0.392232
0.253,0.152,0.523984
0.253,0.202,0.621008
0.253,0.253,0.690944
0.253,0.303,0.743312
0.253,0.354,0.785064
0.253,0.404,0.816568
0.253,0.455,0.844008
0.253,0.505,0.865008
0.253,0.556,0.882024
