J,h,magnetization_density
0.000,-1.000,0.816632
0.000,-0.959,0.823918
0.000,-0.918,0.830998
0.000,-0.878,0.838094
0.000,-0.837,0.845206
0.000,-0.796,0.852076
0.000,-0.755,0.859118
0.000,-0.714,0.866218
0.000,-0.673,0.873442
0.000,-0.633,0.880766
0.000,-0.592,0.887940
0.000,-0.551,0.895440
0.000,-0.510,0.902730
0.000,-0.469,0.909818
0.000,-0.429,0.917504
0.000,-0.388,0.925124
0.000,-0.347,0.932784
0.000,-0.306,0.940370
0.000,-0.265,0.948092
0.000,-0.224,0.955780
0.000,-0.184,0.963552
0.000,-0.143,0.971444
0.000,-0.102,0.979588
0.000,-0.061,0.987718
0.000,-0.020,0.995878
0.000,0.020,0.995714
0.000,0.061,0.988076
0.000,0.102,0.980238
0.000,0.143,0.972176
0.000,0.184,0.964362
0.000,0.224,0.956538
0.000,0.265,0.948680
0.000,0.306,0.941084
0.000,0.347,0.933462
0.000,0.388,0.926110
0.000,0.429,0.918478
0.000,0.469,0.911150
0.000,0.510,0.903736
0.000,0.551,0.896272
0.000,0.592,0.889324
0.000,0.633,0.882330
0.000,0.673,0.875276
0.000,0.714,0.868276
0.000,0.755,0.861352
0.000,0.796,0.854632
0.000,0.837,0.847410
0.000,0.878,0.840734
0.000,0.918,0.833912
0.000,0.959,0.827300
0.000,1.000,0.820770
0.061,-1.000,0.814296
0.061,-0.959,0.821130
0.061,-0.918,0.828014
0.061,-0.878,0.835102
0.061,-0.837,0.842232
0.061,-0.796,0.849510
0.061,-0.755,0.856722
0.061,-0.714,0.863790
0.061,-0.673,0.870988
0.061,-0.633,0.878512
0.061,-0.592,0.885896
0.061,-0.551,0.893010
0.061,-0.510,0.900504
0.061,-0.469,0.908274
0.061,-0.429,0.915734
0.061,-0.388,0.923262
0.061,-0.347,0.930968
0.061,-0.306,0.938690
0.061,-0.265,0.946552
0.061,-0.224,0.950820
0.061,-0.184,0.951144
0.061,-0.143,0.951628
0.061,-0.102,0.951766
0.061,-0.061,0.951916
0.061,-0.020,0.952164
0.061,0.020,0.952240
0.061,0.061,0.952090
0.061,0.102,0.952334
0.061,0.143,0.952028
0.061,0.184,0.951688
0.061,0.224,0.951380
0.061,0.265,0.947254
0.061,0.306,0.939594
0.061,0.347,0.932022
0.061,0.388,0.924744
0.061,0.429,0.917244
0.061,0.469,0.909968
0.061,0.510,0.902140
0.061,0.551,0.894776
0.061,0.592,0.887736
0.061,0.633,0.880568
0.061,0.673,0.873660
0.061,0.714,0.866446
0.061,0.755,0.859212
0.061,0.796,0.852354
0.061,0.837,0.845372
0.061,0.878,0.838744
0.061,0.918,0.832222
0.061,0.959,0.825412
0.061,1.000,0.817346
0.122,-1.000,0.811214
0.122,-0.959,0.817996
0.122,-0.918,0.825134
0.122,-0.878,0.832024
0.122,-0.837,0.838992
0.122,-0.796,0.846224
