backend,L,init_type,J,h,T,n_steps,E,e_density,m,m_density,init_time,mh_time,mh_time_per_step
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,3.400000059627928e-05,0.039712999016046524,3.9712998045615677e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9000000722589903e-05,0.03971699997782707,3.971699982230348e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9000000722589903e-05,0.03971099853515625,3.9710997157271777e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9000000722589903e-05,0.039707001298666,3.970700106492586e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.8000000384054147e-05,0.039705999195575714,3.970599777858297e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.4000000848900527e-05,0.039928000420331955,3.9927999750943854e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.9000000722589903e-05,0.03992899879813194,3.9929000195115805e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,3.099999958067201e-05,0.03993000090122223,3.9930000639287755e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.9999999242136255e-05,0.03993299975991249,3.993299912963266e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.8000000384054147e-05,0.03992899879813194,3.9929000195115805e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.9000000722589903e-05,0.03618299961090088,3.6182998996991955e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.9999999242136255e-05,0.03617800027132034,3.6177999618303147e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.9000000722589903e-05,0.036184001713991165,3.618400228333485e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.9000000722589903e-05,0.03617300093173981,3.617300023961434e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.9000000722589903e-05,0.036180999130010605,3.6180998108648055e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.9000000722589903e-05,0.03962799906730652,3.962800008139311e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.8000000384054147e-05,0.03963100165128708,3.963100141390896e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.8000000384054147e-05,0.039632998406887054,3.963299946008192e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.9000000722589903e-05,0.039632998406887054,3.963299946008192e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.8000000384054147e-05,0.03962999954819679,3.962999812756607e-07
cpu_1,16,random,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,2.9000000722589903e-05,0.04033299908041954,4.033299774164334e-07
cpu_1,16,random,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,2.8000000384054147e-05,0.04033999890089035,4.033999800867605e-07
cpu_1,16,random,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,2.9000000722589903e-05,0.040337998420000076,4.033799712033215e-07
cpu_1,16,random,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,2.8000000384054147e-05,0.04033999890089035,4.033999800867605e-07
cpu_1,16,random,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,2.8000000384054147e-05,0.040334999561309814,4.033499862998724e-07
cpu_1,16,random,1.0,1.0,10.0,100000,-96.0,-0.375,44.0,0.171875,2.8000000384054147e-05,0.03652799874544144,3.6527998759083857e-07
cpu_1,16,random,1.0,1.0,10.0,100000,-96.0,-0.375,44.0,0.171875,2.8000000384054147e-05,0.03652200102806091,3.652200177839404e-07
cpu_1,16,random,1.0,1.0,10.0,100000,-96.0,-0.375,44.0,0.171875,2.700000004551839e-05,0.03652200102806091,3.652200177839404e-07
cpu_1,16,random,1.0,1.0,10.0,100000,-96.0,-0.375,44.0,0.171875,2.8000000384054147e-05,0.03652099892497063,3.652099849205115e-07
cpu_1,16,random,1.0,1.0,10.0,100000,-96.0,-0.375,44.0,0.171875,2.8000000384054147e-05,0.036518000066280365,3.651800000170624e-07
cpu_1,16,random,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,2.8000000384054147e-05,0.039632998406887054,3.963299946008192e-07
cpu_1,16,random,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,2.9000000722589903e-05,0.03963100165128708,3.963100141390896e-07
