backend,L,init_type,J,h,T,n_steps,E,e_density,m,m_density,init_time,mh_time,mh_time_per_step
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,1.1000000085914508e-05,0.03991999849677086,3.9919999039739196e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.999999979801942e-06,0.03990500047802925,3.990500090367277e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03990500047802925,3.990500090367277e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.03988799825310707,3.9887999037091504e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.039889998733997345,3.9889999925435404e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-586.0,-2.2890625,244.0,0.953125,6.000000212225132e-06,0.03978800028562546,3.978800009463157e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-590.0,-2.3046875,244.0,0.953125,6.000000212225132e-06,0.03979799896478653,3.9797998852009187e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-622.0,-2.4296875,252.0,0.984375,6.000000212225132e-06,0.03980100154876709,3.9801000184525037e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-604.0,-2.359375,248.0,0.96875,6.000000212225132e-06,0.039792999625205994,3.979299947332038e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-595.0,-2.32421875,246.0,0.9609375,7.000000096013537e-06,0.039767999202013016,3.9767999737705395e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-39.0,-0.15234375,14.0,0.0546875,6.000000212225132e-06,0.03620300069451332,3.620299935391813e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-109.0,-0.42578125,26.0,0.1015625,7.000000096013537e-06,0.03622899949550629,3.6228999533705064e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-69.0,-0.26953125,2.0,0.0078125,6.000000212225132e-06,0.036208998411893845,3.620899917677889e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-99.0,-0.38671875,-2.0,-0.0078125,7.000000096013537e-06,0.03621400147676468,3.621400139763864e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-63.0,-0.24609375,22.0,0.0859375,6.000000212225132e-06,0.03625600039958954,3.625600015766395e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,7.000000096013537e-06,0.03981500118970871,3.9815000718590454e-07
