backend,L,init_type,J,h,T,n_steps,E,e_density,m,m_density,init_time,mh_time,mh_time_per_step
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,3.300000025774352e-05,0.039659999310970306,3.9660000084040803e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9000000722589903e-05,0.03964100033044815,3.964100017128658e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9000000722589903e-05,0.03964100033044815,3.964100017128658e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9999999242136255e-05,0.0396450012922287,3.964500194797438e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.700000004551839e-05,0.03964100033044815,3.964100017128658e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.9000000722589903e-05,0.03952899947762489,3.9528998740934185e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.8000000384054147e-05,0.039528001099824905,3.952800113893318e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.9000000722589903e-05,0.03953000158071518,3.953000202727708e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.9000000722589903e-05,0.03952899947762489,3.9528998740934185e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.8000000384054147e-05,0.03952899947762489,3.9528998740934185e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.9000000722589903e-05,0.035875000059604645,3.5875001458407496e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.9000000722589903e-05,0.03587799891829491,3.5877999948752404e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.8000000384054147e-05,0.03587700054049492,3.5876999504580454e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.8000000384054147e-05,0.03587799891829491,3.5877999948752404e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.8000000384054147e-05,0.035875000059604645,3.5875001458407496e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.8000000384054147e-05,0.03956900164484978,3.956900229695748e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.700000004551839e-05,0.03956599906086922,3.9565998122270685e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.9000000722589903e-05,0.03957299888134003,3.9572998389303393e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.9999999242136255e-05,0.03957799822092056,3.95779977679922e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.9999999242136255e-05,0.03958800062537193,3.958799936754076e-07
cpu_1,16,random,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,2.8000000384054147e-05,0.03951000049710274,3.9510001670350903e-07
cpu_1,16,random,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,2.9000000722589903e-05,0.03950899839401245,3.950899838400801e-07
cpu_1,16,random,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,2.9000000722589903e-05,0.03950899839401245,3.950899838400801e-07
cpu_1,16,random,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,2.8000000384054147e-05,0.03950599953532219,3.95059998936631e-07
cpu_1,16,random,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,2.9000000722589903e-05,0.03950899839401245,3.950899838400801e-07
cpu_1,16,random,1.0,1.0,10.0,100000,-96.0,-0.375,44.0,0.171875,2.700000004551839e-05,0.03630099818110466,3.6300997408034164e-07
cpu_1,16,random,1.0,1.0,10.0,100000,-96.0,-0.375,44.0,0.171875,2.9000000722589903e-05,0.03629299998283386,3.629299953900045e-07
cpu_1,16,random,1.0,1.0,10.0,100000,-96.0,-0.375,44.0,0.171875,2.8000000384054147e-05,0.036295998841524124,3.6295998029345355e-07
cpu_1,16,random,1.0,1.0,10.0,100000,-96.0,-0.375,44.0,0.171875,2.9000000722589903e-05,0.036299001425504684,3.629900220403215e-07
cpu_1,16,random,1.0,1.0,10.0,100000,-96.0,-0.375,44.0,0.171875,2.8000000384054147e-05,0.036295000463724136,3.629500042734435e-07
cpu_1,16,random,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,2.8000000384054147e-05,0.03956799954175949,3.9567999010614585e-07
cpu_1,16,random,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,2.9000000722589903e-05,0.0395749993622303,3.9574999277647294e-07
cpu_1,16,random,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,2.9000000722589903e-05,0.03956799954175949,3.9567999010614585e-07
cpu_1,16,random,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,2.9000000722589903e-05,0.03956799954175949,3.9567999010614585e-07
cpu_1,16,random,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,2.9000000722589903e-05,0.0395670011639595,3.956700140861358e-07
cpu_1,16,random,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,2.8000000384054147e-05,0.03955100104212761,3.955099998620426e-07
cpu_1,16,random,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,2.9000000722589903e-05,0.03954799845814705,3.954799865368841e-07
cpu_1,16,random,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,2.8000000384054147e-05,0.03955100104212761,3.955099998620426e-07
cpu_1,16,random,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,2.700000004551839e-05,0.03954799845814705,3.954799865368841e-07
cpu_1,16,random,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,2.8000000384054147e-05,0.039549000561237335,3.9549001940031303e-07
cpu_1,16,random,1.0,2.0,10.0,100000,-188.0,-0.734375,58.0,0.2265625,2.8000000384054147e-05,0.03641799837350845,3.6417998217075365e-07
cpu_1,16,random,1.0,2.0,10.0,100000,-188.0,-0.734375,58.0,0.2265625,2.8000000384054147e-05,0.036416999995708466,3.641700061507436e-07
cpu_1,16,random,1.0,2.0,10.0,100000,-188.0,-0.734375,58.0,0.2265625,2.8000000384054147e-05,0.03641799837350845,3.6417998217075365e-07
cpu_1,16,random,1.0,2.0,10.0,100000,-188.0,-0.734375,58.0,0.2265625,2.9000000722589903e-05,0.036414001137018204,3.641400212472945e-07
cpu_1,16,random,1.0,2.0,10.0,100000,-188.0,-0.734375,58.0,0.2265625,2.8000000384054147e-05,0.036451999098062515,3.6451999108066957e-07
cpu_1,64,random,1.0,0.5,0.5,100000,-10240.0,-2.5,4096.0,1.0,0.000375000003259629,0.039705000817775726,3.970500017658196e-07
cpu_1,64,random,1.0,0.5,0.5,100000,-10240.0,-2.5,4096.0,1.0,0.0003429999924264848,0.039707001298666,3.970700106492586e-07
cpu_1,64,random,1.0,0.5,0.5,100000,-10240.0,-2.5,4096.0,1.0,0.00033999999868683517,0.03970000147819519,3.9700000797893154e-07
cpu_1,64,random,1.0,0.5,0.5,100000,-10240.0,-2.5,4096.0,1.0,0.0003380000125616789,0.03970799967646599,3.970799866692687e-07
cpu_1,64,random,1.0,0.5,0.5,100000,-10240.0,-2.5,4096.0,1.0,0.0003440000000409782,0.03968600183725357,3.968600310599868e-07
cpu_1,64,random,1.0,0.5,2.0,100000,-9738.0,-2.37744140625,3972.0,0.9697265625,0.00033999999868683517,0.039510998874902725,3.951099927235191e-07
cpu_1,64,random,1.0,0.5,2.0,100000,-9738.0,-2.37744140625,3972.0,0.9697265625,0.0003389999910723418,0.039514001458883286,3.951400060486776e-07
cpu_1,64,random,1.0,0.5,2.0,100000,-9738.0,-2.37744140625,3972.0,0.9697265625,0.00033999999868683517,0.03951000049710274,3.9510001670350903e-07
cpu_1,64,random,1.0,0.5,2.0,100000,-9738.0,-2.37744140625,3972.0,0.9697265625,0.0003389999910723418,0.039517998695373535,3.951799953938462e-07
cpu_1,64,random,1.0,0.5,2.0,100000,-9738.0,-2.37744140625,3972.0,0.9697265625,0.0003389999910723418,0.03952199965715408,3.9521998473901476e-07
cpu_1,64,random,1.0,0.5,10.0,100000,-910.0,-0.22216796875,316.0,0.0771484375,0.0003389999910723418,0.036334000527858734,3.633400069702475e-07
cpu_1,64,random,1.0,0.5,10.0,100000,-910.0,-0.22216796875,316.0,0.0771484375,0.0003380000125616789,0.03633499890565872,3.6334998299025756e-07
cpu_1,64,random,1.0,0.5,10.0,100000,-910.0,-0.22216796875,316.0,0.0771484375,0.0003429999924264848,0.03633600100874901,3.633600158536865e-07
cpu_1,64,random,1.0,0.5,10.0,100000,-910.0,-0.22216796875,316.0,0.0771484375,0.0003389999910723418,0.03632400184869766,3.632400193964713e-07
cpu_1,64,random,1.0,0.5,10.0,100000,-910.0,-0.22216796875,316.0,0.0771484375,0.0003389999910723418,0.03633200004696846,3.633199980868085e-07
cpu_1,64,random,1.0,1.0,0.5,100000,-12288.0,-3.0,4096.0,1.0,0.00033999999868683517,0.03963499888777733,3.9634997506254876e-07
cpu_1,64,random,1.0,1.0,0.5,100000,-12288.0,-3.0,4096.0,1.0,0.0003389999910723418,0.0396450012922287,3.964500194797438e-07
cpu_1,64,random,1.0,1.0,0.5,100000,-12288.0,-3.0,4096.0,1.0,0.0003440000000409782,0.03964399918913841,3.9643998661631485e-07
