backend,L,init_type,J,h,T,n_steps,E,e_density,m,m_density,init_time,mh_time,mh_time_per_step
cpu_1,32,all_up,0.0,0.0,0.5,100000,0.0,0.0,56.0,0.0546875,1.2000000424450263e-05,0.020617999136447906,2.061799904140571e-07
cpu_1,32,all_up,0.0,0.0,0.5,100000,0.0,0.0,-4.0,-0.00390625,7.000000096013537e-06,0.02062400057911873,2.062400028535194e-07
cpu_1,32,all_up,0.0,0.0,0.5,100000,0.0,0.0,0.0,0.0,7.000000096013537e-06,0.020618999376893044,2.061899948557766e-07
cpu_1,32,all_up,0.0,0.0,0.5,100000,0.0,0.0,4.0,0.00390625,6.000000212225132e-06,0.020601000636816025,2.0601000016995386e-07
cpu_1,32,all_up,0.0,0.0,0.5,100000,0.0,0.0,-12.0,-0.01171875,7.000000096013537e-06,0.020597999915480614,2.0598000105565006e-07
cpu_1,32,all_up,0.0,0.0,2.0,100000,0.0,0.0,-4.0,-0.00390625,7.000000096013537e-06,0.020627999678254128,2.0627999219868798e-07
cpu_1,32,all_up,0.0,0.0,2.0,100000,0.0,0.0,-44.0,-0.04296875,6.000000212225132e-06,0.020604999735951424,2.0605000372597715e-07
cpu_1,32,all_up,0.0,0.0,2.0,100000,0.0,0.0,-56.0,-0.0546875,7.000000096013537e-06,0.02062699943780899,2.0626998775696848e-07
cpu_1,32,all_up,0.0,0.0,2.0,100000,0.0,0.0,8.0,0.0078125,6.000000212225132e-06,0.020607000216841698,2.0606999839856144e-07
cpu_1,32,all_up,0.0,0.0,2.0,100000,0.0,0.0,28.0,0.02734375,6.000000212225132e-06,0.02059900015592575,2.0599000549736957e-07
cpu_1,32,all_up,0.0,0.0,10.0,100000,0.0,0.0,-28.0,-0.02734375,7.000000096013537e-06,0.020614000037312508,2.0614000106888852e-07
cpu_1,32,all_up,0.0,0.0,10.0,100000,0.0,0.0,-40.0,-0.0390625,6.000000212225132e-06,0.020607000216841698,2.0606999839856144e-07
cpu_1,32,all_up,0.0,0.0,10.0,100000,0.0,0.0,-12.0,-0.01171875,6.000000212225132e-06,0.020625999197363853,2.062599975261037e-07
