backend,L,init_type,J,h,T,n_steps,E,e_density,m,m_density,init_time,mh_time,mh_time_per_step
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,9.999999747378752e-06,0.039684001356363297,3.968400221765478e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.999999979801942e-06,0.03967000171542168,3.967000168358936e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03966499865055084,3.966499946272961e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03965900093317032,3.9658999639868853e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03965799883008003,3.96579991956969e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-586.0,-2.2890625,244.0,0.953125,7.000000096013537e-06,0.03954700008034706,3.9547001051687403e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-590.0,-2.3046875,244.0,0.953125,6.000000212225132e-06,0.03954299911856651,3.95429992749996e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-622.0,-2.4296875,252.0,0.984375,6.000000212225132e-06,0.03954299911856651,3.95429992749996e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-604.0,-2.359375,248.0,0.96875,6.000000212225132e-06,0.039542000740766525,3.9542001672998595e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-595.0,-2.32421875,246.0,0.9609375,7.000000096013537e-06,0.039535000920295715,3.9535001405965886e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-39.0,-0.15234375,14.0,0.0546875,6.000000212225132e-06,0.03590000048279762,3.590000119402248e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-109.0,-0.42578125,26.0,0.1015625,6.000000212225132e-06,0.035944998264312744,3.5944998444392695e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-69.0,-0.26953125,2.0,0.0078125,7.000000096013537e-06,0.035920001566410065,3.5920001550948655e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-99.0,-0.38671875,-2.0,-0.0078125,6.000000212225132e-06,0.03588800132274628,3.5888001548300963e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-63.0,-0.24609375,22.0,0.0859375,6.000000212225132e-06,0.03595900163054466,3.5959001820629055e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,6.000000212225132e-06,0.039583999663591385,3.95840004330239e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,6.000000212225132e-06,0.0395830012857914,3.958299998885195e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,7.000000096013537e-06,0.0395830012857914,3.958299998885195e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,4.999999873689376e-06,0.03958199918270111,3.958199954468e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,7.000000096013537e-06,0.03958500176668167,3.9585000877195853e-07
cpu_1,16,all_up,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,7.000000096013537e-06,0.03952600061893463,3.9526000250589277e-07
cpu_1,16,all_up,1.0,1.0,2.0,100000,-738.0,-2.8828125,250.0,0.9765625,6.000000212225132e-06,0.039524998515844345,3.9524999806417327e-07
cpu_1,16,all_up,1.0,1.0,2.0,100000,-748.0,-2.921875,252.0,0.984375,6.000000212225132e-06,0.03952699899673462,3.9526997852590284e-07
