backend,L,init_type,J,h,T,n_steps,E,e_density,m,m_density,init_time,mh_time,mh_time_per_step
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,1.2000000424450263e-05,0.03969600051641464,3.9696001863376296e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.999999979801942e-06,0.03966100141406059,3.9661000528212753e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03965599834918976,3.9655998307353e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.039657000452280045,3.9657001593695895e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03965599834918976,3.9655998307353e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.03965499997138977,3.9655000705351995e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,4.999999873689376e-06,0.03965599834918976,3.9655998307353e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03966499865055084,3.966499946272961e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03965900093317032,3.9658999639868853e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.03965799883008003,3.96579991956969e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03965900093317032,3.9658999639868853e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.03965599834918976,3.9655998307353e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.03965599834918976,3.9655998307353e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.03965499997138977,3.9655000705351995e-07
