backend,L,init_type,J,h,T,n_steps,E,e_density,m,m_density,init_time,mh_time,mh_time_per_step
cpu_1,64,all_up,0.0,0.0,0.5,100000,0.0,0.0,-88.0,-0.021484375,3.600000127335079e-05,0.020611999556422234,2.0611999218544952e-07
cpu_1,64,all_up,0.0,0.0,0.5,100000,0.0,0.0,-52.0,-0.0126953125,1.1000000085914508e-05,0.020603999495506287,2.0603999928425765e-07
cpu_1,64,all_up,0.0,0.0,0.5,100000,0.0,0.0,-12.0,-0.0029296875,9.999999747378752e-06,0.02058500051498413,2.058500001567154e-07
cpu_1,64,all_up,0.0,0.0,0.5,100000,0.0,0.0,8.0,0.001953125,9.999999747378752e-06,0.020609000697731972,2.0609000728200044e-07
cpu_1,64,all_up,0.0,0.0,0.5,100000,0.0,0.0,-28.0,-0.0068359375,9.999999747378752e-06,0.02060599997639656,2.0605999395684194e-07
cpu_1,64,all_up,0.0,0.0,2.0,100000,0.0,0.0,-8.0,-0.001953125,1.1000000085914508e-05,0.020596999675035477,2.0596999661393056e-07
cpu_1,64,all_up,0.0,0.0,2.0,100000,0.0,0.0,-44.0,-0.0107421875,9.999999747378752e-06,0.020609000697731972,2.0609000728200044e-07
cpu_1,64,all_up,0.0,0.0,2.0,100000,0.0,0.0,-128.0,-0.03125,9.999999747378752e-06,0.02057899907231331,2.057899877172531e-07
cpu_1,64,all_up,0.0,0.0,2.0,100000,0.0,0.0,-52.0,-0.0126953125,9.000000318337698e-06,0.020625999197363853,2.062599975261037e-07
cpu_1,64,all_up,0.0,0.0,2.0,100000,0.0,0.0,-16.0,-0.00390625,9.999999747378752e-06,0.020586000755429268,2.058600045984349e-07
cpu_1,64,all_up,0.0,0.0,10.0,100000,0.0,0.0,36.0,0.0087890625,9.999999747378752e-06,0.02059900015592575,2.0599000549736957e-07
cpu_1,64,all_up,0.0,0.0,10.0,100000,0.0,0.0,-64.0,-0.015625,9.999999747378752e-06,0.020601000636816025,2.0601000016995386e-07
cpu_1,64,all_up,0.0,0.0,10.0,100000,0.0,0.0,40.0,0.009765625,9.999999747378752e-06,0.02060299925506115,2.0602999484253814e-07
cpu_1,64,all_up,0.0,0.0,10.0,100000,0.0,0.0,-76.0,-0.0185546875,9.000000318337698e-06,0.02058500051498413,2.058500001567154e-07
cpu_1,64,all_up,0.0,0.0,10.0,100000,0.0,0.0,60.0,0.0146484375,9.000000318337698e-06,0.020633000880479813,2.063300144072855e-07
cpu_1,64,all_up,0.0,0.5,0.5,100000,-1573.0,-0.384033203125,3146.0,0.76806640625,9.000000318337698e-06,0.030722999945282936,3.0723001032129105e-07
cpu_1,64,all_up,0.0,0.5,0.5,100000,-1579.0,-0.385498046875,3158.0,0.77099609375,9.000000318337698e-06,0.030712999403476715,3.0712999432580546e-07
