backend,L,init_type,J,h,T,n_steps,E,e_density,m,m_density,init_time,mh_time,mh_time_per_step
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,1.2000000424450263e-05,0.039673998951911926,3.9673997775935277e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03965599834918976,3.9655998307353e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.03965599834918976,3.9655998307353e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.03965599834918976,3.9655998307353e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.03965499997138977,3.9655000705351995e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-586.0,-2.2890625,244.0,0.953125,6.000000212225132e-06,0.03954700008034706,3.9547001051687403e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-590.0,-2.3046875,244.0,0.953125,7.000000096013537e-06,0.03954000025987625,3.9540000784654694e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-622.0,-2.4296875,252.0,0.984375,6.000000212225132e-06,0.0395359992980957,3.9535999007966893e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-604.0,-2.359375,248.0,0.96875,6.000000212225132e-06,0.03953399881720543,3.9533998119622993e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-595.0,-2.32421875,246.0,0.9609375,6.000000212225132e-06,0.03953099995851517,3.9530999629278085e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-39.0,-0.15234375,14.0,0.0546875,6.000000212225132e-06,0.03591400012373924,3.5913998885916953e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-109.0,-0.42578125,26.0,0.1015625,6.000000212225132e-06,0.0359559990465641,3.595599764594226e-07
