backend,L,init_type,J,h,T,n_steps,E,e_density,m,m_density,init_time,mh_time,mh_time_per_step
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,1.1000000085914508e-05,0.03968600183725357,3.968600310599868e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03966299816966057,3.966299857438571e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.039659999310970306,3.9660000084040803e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.000000212225132e-06,0.03965799883008003,3.96579991956969e-07
cpu_1,16,all_up,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,7.000000096013537e-06,0.03966100141406059,3.9661000528212753e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-586.0,-2.2890625,244.0,0.953125,6.000000212225132e-06,0.039549000561237335,3.9549001940031303e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-590.0,-2.3046875,244.0,0.953125,6.000000212225132e-06,0.03955499827861786,3.955499892072112e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-622.0,-2.4296875,252.0,0.984375,7.000000096013537e-06,0.03954299911856651,3.95429992749996e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-604.0,-2.359375,248.0,0.96875,6.000000212225132e-06,0.03954499959945679,3.95450001633435e-07
cpu_1,16,all_up,1.0,0.5,2.0,100000,-595.0,-2.32421875,246.0,0.9609375,6.000000212225132e-06,0.03953799977898598,3.9537999896310794e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-39.0,-0.15234375,14.0,0.0546875,6.000000212225132e-06,0.035916998982429504,3.5917000218432804e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-109.0,-0.42578125,26.0,0.1015625,6.000000212225132e-06,0.0359559990465641,3.595599764594226e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-69.0,-0.26953125,2.0,0.0078125,6.000000212225132e-06,0.03593600168824196,3.593600297335797e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-99.0,-0.38671875,-2.0,-0.0078125,7.000000096013537e-06,0.03590400144457817,3.5904000128539337e-07
cpu_1,16,all_up,1.0,0.5,10.0,100000,-63.0,-0.24609375,22.0,0.0859375,6.000000212225132e-06,0.035975001752376556,3.597500040086743e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,7.000000096013537e-06,0.03958699852228165,3.958699892336881e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,6.000000212225132e-06,0.03961100056767464,3.9611001056982786e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,7.000000096013537e-06,0.03958600014448166,3.9586001321367803e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,7.000000096013537e-06,0.039583999663591385,3.95840004330239e-07
cpu_1,16,all_up,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,6.000000212225132e-06,0.03958800062537193,3.958799936754076e-07
cpu_1,16,all_up,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,7.000000096013537e-06,0.03952699899673462,3.9526997852590284e-07
cpu_1,16,all_up,1.0,1.0,2.0,100000,-738.0,-2.8828125,250.0,0.9765625,6.000000212225132e-06,0.039528001099824905,3.952800113893318e-07
cpu_1,16,all_up,1.0,1.0,2.0,100000,-748.0,-2.921875,252.0,0.984375,6.000000212225132e-06,0.03952600061893463,3.9526000250589277e-07
cpu_1,16,all_up,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,6.000000212225132e-06,0.039528001099824905,3.952800113893318e-07
cpu_1,16,all_up,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,6.000000212225132e-06,0.03953399881720543,3.9533998119622993e-07
cpu_1,16,all_up,1.0,1.0,10.0,100000,-140.0,-0.546875,76.0,0.296875,7.000000096013537e-06,0.03636400029063225,3.636399981132854e-07
cpu_1,16,all_up,1.0,1.0,10.0,100000,-124.0,-0.484375,48.0,0.1875,6.000000212225132e-06,0.03636699914932251,3.636699830167345e-07
cpu_1,16,all_up,1.0,1.0,10.0,100000,-126.0,-0.4921875,50.0,0.1953125,6.000000212225132e-06,0.03633800148963928,3.633800247371255e-07
cpu_1,16,all_up,1.0,1.0,10.0,100000,-66.0,-0.2578125,10.0,0.0390625,6.000000212225132e-06,0.03632500022649765,3.632499954164814e-07
cpu_1,16,all_up,1.0,1.0,10.0,100000,-48.0,-0.1875,8.0,0.03125,6.000000212225132e-06,0.036375001072883606,3.637500185504905e-07
cpu_1,16,all_up,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.03958500176668167,3.9585000877195853e-07
cpu_1,16,all_up,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.039583999663591385,3.95840004330239e-07
cpu_1,16,all_up,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,7.000000096013537e-06,0.03958899900317192,3.958899981171271e-07
cpu_1,16,all_up,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.0395830012857914,3.958299998885195e-07
cpu_1,16,all_up,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.039583999663591385,3.95840004330239e-07
cpu_1,16,all_up,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.03956599906086922,3.9565998122270685e-07
cpu_1,16,all_up,1.0,2.0,2.0,100000,-1012.0,-3.953125,254.0,0.9921875,6.000000212225132e-06,0.0395670011639595,3.956700140861358e-07
cpu_1,16,all_up,1.0,2.0,2.0,100000,-1012.0,-3.953125,254.0,0.9921875,7.000000096013537e-06,0.03956599906086922,3.9565998122270685e-07
cpu_1,16,all_up,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,7.000000096013537e-06,0.03956599906086922,3.9565998122270685e-07
cpu_1,16,all_up,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,7.000000096013537e-06,0.03956599906086922,3.9565998122270685e-07
cpu_1,16,all_up,1.0,2.0,10.0,100000,-220.0,-0.859375,66.0,0.2578125,6.000000212225132e-06,0.036393001675605774,3.6393001323631324e-07
cpu_1,16,all_up,1.0,2.0,10.0,100000,-356.0,-1.390625,108.0,0.421875,6.000000212225132e-06,0.036421999335289,3.6421999993763166e-07
cpu_1,16,all_up,1.0,2.0,10.0,100000,-260.0,-1.015625,94.0,0.3671875,7.000000096013537e-06,0.03643599897623062,3.643599768565764e-07
cpu_1,16,all_up,1.0,2.0,10.0,100000,-288.0,-1.125,92.0,0.359375,6.000000212225132e-06,0.03640599921345711,3.640599857135385e-07
cpu_1,16,all_up,1.0,2.0,10.0,100000,-348.0,-1.359375,102.0,0.3984375,7.000000096013537e-06,0.03638700023293495,3.6387001500770566e-07
cpu_1,16,all_down,1.0,0.5,0.5,100000,-384.0,-1.5,-256.0,-1.0,6.000000212225132e-06,0.03958899900317192,3.958899981171271e-07
cpu_1,16,all_down,1.0,0.5,0.5,100000,-384.0,-1.5,-256.0,-1.0,6.000000212225132e-06,0.03958500176668167,3.9585000877195853e-07
cpu_1,16,all_down,1.0,0.5,0.5,100000,-384.0,-1.5,-256.0,-1.0,6.000000212225132e-06,0.03958199918270111,3.958199954468e-07
cpu_1,16,all_down,1.0,0.5,0.5,100000,-384.0,-1.5,-256.0,-1.0,6.000000212225132e-06,0.03958800062537193,3.958799936754076e-07
cpu_1,16,all_down,1.0,0.5,0.5,100000,-384.0,-1.5,-256.0,-1.0,7.000000096013537e-06,0.03958500176668167,3.9585000877195853e-07
cpu_1,16,all_down,1.0,0.5,2.0,100000,-595.0,-2.32421875,246.0,0.9609375,6.000000212225132e-06,0.03949499875307083,3.949499784994259e-07
cpu_1,16,all_down,1.0,0.5,2.0,100000,-598.0,-2.3359375,244.0,0.953125,7.000000096013537e-06,0.03949100151658058,3.949100175759668e-07
cpu_1,16,all_down,1.0,0.5,2.0,100000,-626.0,-2.4453125,252.0,0.984375,7.000000096013537e-06,0.03949899971485138,3.9498999626630393e-07
cpu_1,16,all_down,1.0,0.5,2.0,100000,-621.0,-2.42578125,250.0,0.9765625,6.000000212225132e-06,0.03950100019574165,3.9501000514974294e-07
cpu_1,16,all_down,1.0,0.5,2.0,100000,-593.0,-2.31640625,242.0,0.9453125,6.000000212225132e-06,0.03949199989438057,3.9491999359597685e-07
cpu_1,16,all_down,1.0,0.5,10.0,100000,-54.0,-0.2109375,12.0,0.046875,7.000000096013537e-06,0.0359250009059906,3.5925000929637463e-07
cpu_1,16,all_down,1.0,0.5,10.0,100000,-109.0,-0.42578125,10.0,0.0390625,6.000000212225132e-06,0.035913001745939255,3.5913001283915946e-07
cpu_1,16,all_down,1.0,0.5,10.0,100000,-25.0,-0.09765625,18.0,0.0703125,7.000000096013537e-06,0.035948000848293304,3.5947999776908546e-07
cpu_1,16,all_down,1.0,0.5,10.0,100000,-69.0,-0.26953125,10.0,0.0390625,6.000000212225132e-06,0.03591899946331978,3.591899826460576e-07
cpu_1,16,all_down,1.0,0.5,10.0,100000,-44.0,-0.171875,16.0,0.0625,6.000000212225132e-06,0.03590499982237816,3.590500057271129e-07
cpu_1,16,all_down,1.0,1.0,0.5,100000,-256.0,-1.0,-256.0,-1.0,4.999999873689376e-06,0.0395830012857914,3.958299998885195e-07
cpu_1,16,all_down,1.0,1.0,0.5,100000,-256.0,-1.0,-256.0,-1.0,6.000000212225132e-06,0.039583999663591385,3.95840004330239e-07
cpu_1,16,all_down,1.0,1.0,0.5,100000,-256.0,-1.0,-256.0,-1.0,6.000000212225132e-06,0.03958500176668167,3.9585000877195853e-07
cpu_1,16,all_down,1.0,1.0,0.5,100000,-256.0,-1.0,-256.0,-1.0,7.999999979801942e-06,0.03957999870181084,3.95799986563361e-07
cpu_1,16,all_down,1.0,1.0,0.5,100000,-256.0,-1.0,-256.0,-1.0,7.000000096013537e-06,0.03958199918270111,3.958199954468e-07
cpu_1,16,all_down,1.0,1.0,2.0,100000,-748.0,-2.921875,252.0,0.984375,6.000000212225132e-06,0.03949499875307083,3.949499784994259e-07
cpu_1,16,all_down,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,6.000000212225132e-06,0.039500001817941666,3.9500002912973287e-07
cpu_1,16,all_down,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,6.000000212225132e-06,0.03950800001621246,3.9508000782007e-07
cpu_1,16,all_down,1.0,1.0,2.0,100000,-728.0,-2.84375,248.0,0.96875,7.999999979801942e-06,0.03950899839401245,3.950899838400801e-07
cpu_1,16,all_down,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,7.000000096013537e-06,0.03950199857354164,3.95019981169753e-07
cpu_1,16,all_down,1.0,1.0,10.0,100000,-110.0,-0.4296875,58.0,0.2265625,7.000000096013537e-06,0.03632599860429764,3.632599998582009e-07
cpu_1,16,all_down,1.0,1.0,10.0,100000,-126.0,-0.4921875,62.0,0.2421875,7.000000096013537e-06,0.036371998488903046,3.6371997680362256e-07
cpu_1,16,all_down,1.0,1.0,10.0,100000,-68.0,-0.265625,32.0,0.125,7.000000096013537e-06,0.036361001431941986,3.636100132098363e-07
cpu_1,16,all_down,1.0,1.0,10.0,100000,-58.0,-0.2265625,14.0,0.0546875,6.000000212225132e-06,0.036375001072883606,3.637500185504905e-07
cpu_1,16,all_down,1.0,1.0,10.0,100000,-94.0,-0.3671875,38.0,0.1484375,6.000000212225132e-06,0.036357998847961426,3.635799998846778e-07
cpu_1,16,all_down,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.03963100165128708,3.963100141390896e-07
cpu_1,16,all_down,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.03956000134348869,3.956000114158087e-07
cpu_1,16,all_down,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.039583999663591385,3.95840004330239e-07
cpu_1,16,all_down,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.03957799822092056,3.95779977679922e-07
cpu_1,16,all_down,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.03955499827861786,3.955499892072112e-07
cpu_1,16,all_down,1.0,2.0,2.0,100000,-1012.0,-3.953125,254.0,0.9921875,6.000000212225132e-06,0.03952199965715408,3.9521998473901476e-07
cpu_1,16,all_down,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.03952300176024437,3.952300176024437e-07
cpu_1,16,all_down,1.0,2.0,2.0,100000,-1000.0,-3.90625,252.0,0.984375,6.000000212225132e-06,0.03952199965715408,3.9521998473901476e-07
cpu_1,16,all_down,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.03952300176024437,3.952300176024437e-07
cpu_1,16,all_down,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,6.000000212225132e-06,0.03952199965715408,3.9521998473901476e-07
cpu_1,16,all_down,1.0,2.0,10.0,100000,-276.0,-1.078125,88.0,0.34375,7.000000096013537e-06,0.036414001137018204,3.641400212472945e-07
cpu_1,16,all_down,1.0,2.0,10.0,100000,-332.0,-1.296875,108.0,0.421875,6.000000212225132e-06,0.036341000348329544,3.6341000964057457e-07
cpu_1,16,all_down,1.0,2.0,10.0,100000,-272.0,-1.0625,70.0,0.2734375,7.000000096013537e-06,0.03628699854016304,3.628699971613969e-07
cpu_1,16,all_down,1.0,2.0,10.0,100000,-240.0,-0.9375,70.0,0.2734375,7.000000096013537e-06,0.036364998668432236,3.6364997413329547e-07
cpu_1,16,all_down,1.0,2.0,10.0,100000,-208.0,-0.8125,56.0,0.21875,7.000000096013537e-06,0.03634599968791008,3.6346000342746265e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9000000722589903e-05,0.03964199870824814,3.9641997773287585e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9000000722589903e-05,0.03963499888777733,3.9634997506254876e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9999999242136255e-05,0.03963800147175789,3.963800168094167e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9000000722589903e-05,0.03964399918913841,3.9643998661631485e-07
cpu_1,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,2.9999999242136255e-05,0.039645999670028687,3.9645999549975386e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.9000000722589903e-05,0.03953099995851517,3.9530999629278085e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.9000000722589903e-05,0.03952400013804436,3.9523999362245377e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.8000000384054147e-05,0.03951999917626381,3.952000042772852e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.8000000384054147e-05,0.03952199965715408,3.9521998473901476e-07
cpu_1,16,random,1.0,0.5,2.0,100000,-586.0,-2.2890625,236.0,0.921875,2.8000000384054147e-05,0.039517998695373535,3.951799953938462e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.8000000384054147e-05,0.03585699945688248,3.585699914765428e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.8000000384054147e-05,0.03585699945688248,3.585699914765428e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.8000000384054147e-05,0.03585899993777275,3.585900003599818e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.700000004551839e-05,0.03585699945688248,3.585699914765428e-07
cpu_1,16,random,1.0,0.5,10.0,100000,-111.0,-0.43359375,38.0,0.1484375,2.8000000384054147e-05,0.03585699945688248,3.585699914765428e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.700000004551839e-05,0.03956099972128868,3.9560998743581877e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.8000000384054147e-05,0.03956200182437897,3.956200202992477e-07
cpu_1,16,random,1.0,1.0,0.5,100000,-768.0,-3.0,256.0,1.0,2.700000004551839e-05,0.03956200182437897,3.956200202992477e-07
